fixture_id,cohort,approval_cohort,match,league,kickoff_utc,approved_1x2,approved_selection,confidence,no_bet,result_status,1x2_hit,priced
1494717,STRICT_OWNER_APPROVED,STRICT_OWNER_APPROVED,Bodo/Glimt vs Lillestrom,Eliteserien,2026-07-31T19:00:00+00:00,home,home,66.7,True,UNRESOLVED,,False
1514200,,STRICT_OWNER_APPROVED,Grotta vs Grindavik,1. Deild,2026-07-14T18:00:00+00:00,,home,58.5,True,FINISHED_CONFIRMED,False,True
1514244,,STRICT_OWNER_APPROVED,HK Kopavogur vs IR Reykjavik,1. Deild,2026-07-14T17:00:00+00:00,,home,57.5,True,FINISHED_CONFIRMED,True,False
1554375,,STRICT_OWNER_APPROVED,Atert Bissen vs KI Klaksvik,UEFA Champions League,2026-07-15T18:15:00+00:00,,away,60.0,True,FINISHED_CONFIRMED,True,True
1554376,,STRICT_OWNER_APPROVED,Drita vs Kauno Žalgiris,UEFA Champions League,2026-07-14T18:00:00+00:00,,home,54.8,True,FINISHED_CONFIRMED,False,True
1554421,,STRICT_OWNER_APPROVED,Dečić vs FK Liepaja,UEFA Conference League,2026-07-15T18:30:00+00:00,,away,58.3,True,FINISHED_CONFIRMED,True,True
1556397,STRICT_OWNER_APPROVED,STRICT_OWNER_APPROVED,Be1 NFA vs Jonava,1 Lyga,2026-07-31T15:30:00+00:00,home,home,57.2,True,UNRESOLVED,,False
1556398,STRICT_OWNER_APPROVED,STRICT_OWNER_APPROVED,Hegelmann II vs Minija,1 Lyga,2026-07-31T16:00:00+00:00,away,away,64.3,True,UNRESOLVED,,False
1556505,,STRICT_OWNER_APPROVED,Dinamo Zagreb vs FC Thun,champions_league,2026-07-28T18:00:00,,home,61.2,True,FINISHED_CONFIRMED,True,False
1556506,,STRICT_OWNER_APPROVED,Gornik Zabrze vs Fenerbahçe,UEFA Champions League,2026-07-29T18:00:00+00:00,,away,61.1,True,FINISHED_CONFIRMED,False,False
1556508,,STRICT_OWNER_APPROVED,Lech Poznan vs Aarhus,UEFA Champions League,2026-07-29T17:00:00+00:00,,home,67.4,False,FINISHED_CONFIRMED,False,False
1556516,STRICT_OWNER_APPROVED,STRICT_OWNER_APPROVED,FC Lugano vs Dukagjini,conference_league,2026-07-23T18:30:00,home,home,47.6,True,UNRESOLVED,,False
1556534,STRICT_OWNER_APPROVED,STRICT_OWNER_APPROVED,HB Torshavn vs Motherwell,UEFA Conference League,2026-07-30T17:00:00+00:00,away,away,53.0,True,UNRESOLVED,,False
1556537,STRICT_OWNER_APPROVED,STRICT_OWNER_APPROVED,FC Noah vs Zimbru,UEFA Conference League,2026-07-30T16:00:00+00:00,home,home,59.2,True,UNRESOLVED,,False
1556540,STRICT_OWNER_APPROVED,STRICT_OWNER_APPROVED,FK Tobol Kostanay vs Panevėžys,UEFA Conference League,2026-07-30T14:00:00+00:00,home,home,55.7,True,UNRESOLVED,,False
1585131,,STRICT_OWNER_APPROVED,France vs Spain,FIFA World Cup 2026,2026-07-14T19:00:00+00:00,,draw,68.9,False,FINISHED_CONFIRMED,False,True
1586077,,STRICT_OWNER_APPROVED,England vs Argentina,FIFA World Cup 2026,2026-07-15T19:00:00+00:00,,away,55.2,True,FINISHED_CONFIRMED,True,True
1589421,,STRICT_OWNER_APPROVED,FK Crvena Zvezda vs Larne,UEFA Champions League,2026-07-29T18:00:00+00:00,,home,66.9,True,FINISHED_CONFIRMED,True,False
1589425,,STRICT_OWNER_APPROVED,Shamrock Rovers vs Ararat-Armenia,champions_league,2026-07-28T19:00:00,,away,44.0,True,FINISHED_CONFIRMED,False,False
1591937,,STRICT_OWNER_APPROVED,Celje vs Egnatia Rrogozhinë,champions_league,2026-07-28T18:15:00,,away,44.2,True,FINISHED_CONFIRMED,False,False
1593478,STRICT_OWNER_APPROVED,STRICT_OWNER_APPROVED,Bate Borisov vs FC Sion,conference_league,2026-07-23T17:00:00,away,away,34.7,True,UNRESOLVED,,False
1593491,STRICT_OWNER_APPROVED,STRICT_OWNER_APPROVED,Shelbourne vs Kalju Nomme,conference_league,2026-07-23T18:45:00,home,home,45.1,True,UNRESOLVED,,False
1593514,,STRICT_OWNER_APPROVED,Rapid Vienna vs FC Santa Coloma,UEFA Conference League,2026-07-29T18:30:00+00:00,,home,69.1,True,FINISHED_CONFIRMED,True,False
1494723,WATCHLIST_ONLY,WATCHLIST_ONLY,Valerenga vs Ham-Kam,Eliteserien,2026-07-31T17:00:00+00:00,draw,draw,65.5,True,UNRESOLVED,,False
1514246,,WATCHLIST_ONLY,Grindavik vs Leiknir R.,1. Deild,2026-07-29T19:15:00+00:00,,draw,46.4,True,FINISHED_CONFIRMED,False,False
1514247,,WATCHLIST_ONLY,Throttur Reykjavik vs Afturelding,1. Deild,2026-07-29T19:15:00+00:00,,away,48.4,True,FINISHED_CONFIRMED,False,False
1556526,WATCHLIST_ONLY,WATCHLIST_ONLY,Auda vs FCSB,UEFA Conference League,2026-07-30T16:00:00+00:00,home,home,43.6,True,UNRESOLVED,,False
1556535,WATCHLIST_ONLY,WATCHLIST_ONLY,FK Jablonec vs NK Varazdin,UEFA Conference League,2026-07-30T16:00:00+00:00,away,away,47.6,True,UNRESOLVED,,False
1556538,WATCHLIST_ONLY,WATCHLIST_ONLY,FC Nordsjaelland vs Gais,UEFA Conference League,2026-07-30T17:00:00+00:00,away,away,41.3,True,UNRESOLVED,,False
1556548,WATCHLIST_ONLY,WATCHLIST_ONLY,Benfica vs FC ST. Gallen,UEFA Europa League,2026-07-30T19:00:00+00:00,away,away,40.6,True,UNRESOLVED,,False
1556549,WATCHLIST_ONLY,WATCHLIST_ONLY,FC Midtjylland vs Beşiktaş,UEFA Europa League,2026-07-30T17:00:00+00:00,away,away,42.2,True,UNRESOLVED,,False
1556550,WATCHLIST_ONLY,WATCHLIST_ONLY,Hradec Králové vs Tromso,UEFA Europa League,2026-07-30T17:00:00+00:00,home,home,43.7,True,UNRESOLVED,,False
1589422,,WATCHLIST_ONLY,Hapoel Beer Sheva vs Vikingur Reykjavik,UEFA Champions League,2026-07-29T17:30:00+00:00,,away,54.7,True,FINISHED_CONFIRMED,False,False
1591938,,WATCHLIST_ONLY,Kairat Almaty vs Omonia Nicosia,UEFA Champions League,2026-07-29T15:00:00+00:00,,draw,45.6,True,FINISHED_CONFIRMED,False,False
1591939,,WATCHLIST_ONLY,Kauno Žalgiris vs KI Klaksvik,UEFA Champions League,2026-07-29T16:00:00+00:00,,away,48.7,True,FINISHED_CONFIRMED,False,False
1591940,,WATCHLIST_ONLY,Universitatea Craiova vs Levski Sofia,UEFA Champions League,2026-07-29T17:30:00+00:00,,away,49.1,True,FINISHED_CONFIRMED,False,False
1593506,WATCHLIST_ONLY,WATCHLIST_ONLY,Ilves vs Stjarnan,UEFA Conference League,2026-07-30T16:00:00+00:00,away,away,43.0,True,UNRESOLVED,,False
1593507,WATCHLIST_ONLY,WATCHLIST_ONLY,Inter Turku vs Başakşehir,UEFA Conference League,2026-07-30T16:00:00+00:00,home,home,47.0,True,UNRESOLVED,,False
1593510,WATCHLIST_ONLY,WATCHLIST_ONLY,FC Levadia Tallinn vs IFK Goteborg,UEFA Conference League,2026-07-30T16:30:00+00:00,home,home,48.9,True,UNRESOLVED,,False
1593511,WATCHLIST_ONLY,WATCHLIST_ONLY,Pyunik Yerevan vs Debreceni VSC,UEFA Conference League,2026-07-30T16:00:00+00:00,draw,draw,44.1,True,UNRESOLVED,,False
1593518,WATCHLIST_ONLY,WATCHLIST_ONLY,Zira vs Paide,UEFA Conference League,2026-07-30T16:00:00+00:00,draw,draw,50.8,True,UNRESOLVED,,False
1593524,WATCHLIST_ONLY,WATCHLIST_ONLY,CSKA Sofia vs Qarabag,UEFA Europa League,2026-07-30T18:00:00+00:00,away,away,57.5,True,UNRESOLVED,,False
1593525,WATCHLIST_ONLY,WATCHLIST_ONLY,Ferencvarosi TC vs Twente,UEFA Europa League,2026-07-30T18:30:00+00:00,home,home,48.6,True,UNRESOLVED,,False
1593527,WATCHLIST_ONLY,WATCHLIST_ONLY,Pafos vs HNK Hajduk Split,UEFA Europa League,2026-07-30T17:00:00+00:00,away,away,51.0,True,UNRESOLVED,,False
