fixture_id,cohort,source_path,source_kind,prediction_scope,validation_tier,no_bet,freeze_id,kickoff_utc
1585131,STRICT_OWNER_APPROVED,artifacts/owner_balanced_odds_picks_20260714_20260714T110956Z/selected_matches.json,selected_matches,production,A,,,2026-07-14T19:00:00+00:00
1554376,STRICT_OWNER_APPROVED,artifacts/owner_balanced_odds_picks_20260714_20260714T110956Z/selected_matches.json,selected_matches,production,A,,,2026-07-14T18:00:00+00:00
1514200,STRICT_OWNER_APPROVED,artifacts/owner_balanced_odds_picks_20260714_20260714T110956Z/selected_matches.json,selected_matches,owner_shadow,B,,,2026-07-14T18:00:00+00:00
1514244,STRICT_OWNER_APPROVED,artifacts/today_owner_picks_20260714/selected_matches.json,selected_matches,owner_shadow,B,,,2026-07-14T17:00:00+00:00
1514200,STRICT_OWNER_APPROVED,artifacts/today_owner_picks_20260714/selected_matches.json,selected_matches,owner_shadow,B,,,2026-07-14T18:00:00+00:00
1589421,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day1_best_three.json,day_best_three,production,A,True,aa2b8366-7125-4eb2-8594-30e67b16fa19,2026-07-29T18:00:00+00:00
1593514,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day1_best_three.json,day_best_three,production,A,True,8f0b4544-33bd-4435-947f-c7ea4aed3c41,2026-07-29T18:30:00+00:00
1556506,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day1_best_three.json,day_best_three,production,A,True,cf2762bb-fd99-43ce-855f-7dc4a5da9683,2026-07-29T18:00:00+00:00
1556537,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day2_best_three.json,day_best_three,production,A,True,d168abc0-ea85-4ac8-a2bb-7910b0575196,2026-07-30T16:00:00+00:00
1556534,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day2_best_three.json,day_best_three,production,A,True,c8144238-8777-42a8-9ddc-4bef4a974c89,2026-07-30T17:00:00+00:00
