fixture_id,threshold,market,market_key,pick,selection,confidence,rank_score,bucket,outcome
719349,50,match_winner,1x2,draw,draw,34.4,,model,correct
719349,50,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,correct
719349,50,btts,btts,no,no,34.4,,model,wrong
719349,50,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,wrong
719349,55,match_winner,1x2,draw,draw,34.4,,model,correct
719349,55,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,correct
719349,55,btts,btts,no,no,34.4,,model,wrong
719349,55,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,wrong
719349,60,match_winner,1x2,draw,draw,34.4,,model,correct
719349,60,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,correct
719349,60,btts,btts,no,no,34.4,,model,wrong
719349,60,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,wrong
719351,50,match_winner,1x2,draw,draw,34.3,,model,wrong
719351,50,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.3,,model,correct
719351,50,btts,btts,no,no,34.3,,model,correct
719351,50,double_chance,double_chance,home_or_away,home_or_away,34.3,,model,correct
719351,55,match_winner,1x2,draw,draw,34.3,,model,wrong
719351,55,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.3,,model,correct
719351,55,btts,btts,no,no,34.3,,model,correct
719351,55,double_chance,double_chance,home_or_away,home_or_away,34.3,,model,correct
719351,60,match_winner,1x2,draw,draw,34.3,,model,wrong
719351,60,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.3,,model,correct
719351,60,btts,btts,no,no,34.3,,model,correct
719351,60,double_chance,double_chance,home_or_away,home_or_away,34.3,,model,correct
719352,50,match_winner,1x2,draw,draw,34.4,,model,correct
719352,50,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,correct
719352,50,btts,btts,no,no,34.4,,model,wrong
719352,50,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,wrong
719352,55,match_winner,1x2,draw,draw,34.4,,model,correct
719352,55,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,correct
719352,55,btts,btts,no,no,34.4,,model,wrong
719352,55,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,wrong
719352,60,match_winner,1x2,draw,draw,34.4,,model,correct
719352,60,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,correct
719352,60,btts,btts,no,no,34.4,,model,wrong
719352,60,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,wrong
719353,50,match_winner,1x2,draw,draw,34.4,,model,wrong
719353,50,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,wrong
719353,50,btts,btts,no,no,34.4,,model,wrong
719353,50,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,correct
719353,55,match_winner,1x2,draw,draw,34.4,,model,wrong
719353,55,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,wrong
719353,55,btts,btts,no,no,34.4,,model,wrong
719353,55,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,correct
719353,60,match_winner,1x2,draw,draw,34.4,,model,wrong
719353,60,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,wrong
719353,60,btts,btts,no,no,34.4,,model,wrong
719353,60,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,correct
719355,50,match_winner,1x2,draw,draw,34.4,,model,wrong
719355,50,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,wrong
719355,50,btts,btts,no,no,34.4,,model,correct
719355,50,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,correct
719355,55,match_winner,1x2,draw,draw,34.4,,model,wrong
719355,55,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,wrong
719355,55,btts,btts,no,no,34.4,,model,correct
719355,55,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,correct
719355,60,match_winner,1x2,draw,draw,34.4,,model,wrong
719355,60,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,wrong
719355,60,btts,btts,no,no,34.4,,model,correct
719355,60,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,correct
719356,50,match_winner,1x2,draw,draw,34.4,,model,correct
719356,50,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,correct
719356,50,btts,btts,no,no,34.4,,model,correct
719356,50,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,wrong
719356,55,match_winner,1x2,draw,draw,34.4,,model,correct
719356,55,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,correct
719356,55,btts,btts,no,no,34.4,,model,correct
719356,55,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,wrong
719356,60,match_winner,1x2,draw,draw,34.4,,model,correct
719356,60,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,correct
719356,60,btts,btts,no,no,34.4,,model,correct
719356,60,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,wrong
719350,50,match_winner,1x2,draw,draw,34.4,,model,wrong
719350,50,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,wrong
719350,50,btts,btts,no,no,34.4,,model,wrong
719350,50,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,correct
719350,55,match_winner,1x2,draw,draw,34.4,,model,wrong
719350,55,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,wrong
719350,55,btts,btts,no,no,34.4,,model,wrong
719350,55,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,correct
719350,60,match_winner,1x2,draw,draw,34.4,,model,wrong
719350,60,over_under_2_5,over_under_2_5,under_2_5,under_2_5,34.4,,model,wrong
719350,60,btts,btts,no,no,34.4,,model,wrong
719350,60,double_chance,double_chance,home_or_away,home_or_away,34.4,,model,correct
