source,table,rows,unique_fixtures,safe_to_use,size_mb
data/football_intelligence.db,autonomous_prediction_snapshots,12,3,True,33382.79
data/football_intelligence.db,autonomous_snapshot_evaluations,12,3,True,33382.79
data/football_intelligence.db,cards_fixture_settlements,1611,1611,True,33382.79
data/football_intelligence.db,cards_shadow_freezes,22,22,True,33382.79
data/football_intelligence.db,cards_shadow_predictions,22,22,True,33382.79
data/football_intelligence.db,challenger_evaluations,0,0,True,33382.79
data/football_intelligence.db,challenger_freezes,1,1,True,33382.79
data/football_intelligence.db,challenger_predictions,4,3,True,33382.79
data/football_intelligence.db,correct_score_forward_collection_plan,1000,200,True,33382.79
data/football_intelligence.db,correct_score_odds_ingestion_runs,3,,True,33382.79
data/football_intelligence.db,correct_score_odds_lines,439131,136,True,33382.79
data/football_intelligence.db,correct_score_odds_manual_imports,0,0,True,33382.79
data/football_intelligence.db,ecse_lambda_features,168233,168233,True,33382.79
data/football_intelligence.db,ecse_live_api_log,163,,True,33382.79
data/football_intelligence.db,ecse_live_cycle_runs,0,,True,33382.79
data/football_intelligence.db,ecse_oddalerts_shadow_monitor,0,0,True,33382.79
data/football_intelligence.db,ecse_oddalerts_shadow_predictions,197,197,True,33382.79
data/football_intelligence.db,ecse_prediction_evaluations,16,16,True,33382.79
data/football_intelligence.db,ecse_prediction_snapshots,339,339,True,33382.79
data/football_intelligence.db,ecse_score_distributions,10935145,,True,33382.79
data/football_intelligence.db,ecse_score_distributions_dc,10935145,,True,33382.79
data/football_intelligence.db,ecse_score_distributions_m1,10935145,,True,33382.79
data/football_intelligence.db,ecse_training_dataset,217518,217518,True,33382.79
data/football_intelligence.db,euro_fixture_feed,381,381,True,33382.79
data/football_intelligence.db,euro_fixture_raw_payload,381,,True,33382.79
data/football_intelligence.db,external_match_odds_staging,1660836,,True,33382.79
data/football_intelligence.db,fixture_enrichment,2040,2040,True,33382.79
data/football_intelligence.db,fixture_goal_events,6239,1900,True,33382.79
data/football_intelligence.db,fixture_results,2409,2409,True,33382.79
data/football_intelligence.db,fixture_team_resolution,72,72,True,33382.79
data/football_intelligence.db,fixture_unified_events,0,0,True,33382.79
data/football_intelligence.db,fixtures,2979,2979,True,33382.79
data/football_intelligence.db,goal_timing_split_predictions,8,8,True,33382.79
data/football_intelligence.db,historical_csv_odds_imports,2063334,223215,True,33382.79
data/football_intelligence.db,historical_csv_odds_prematch_clean,1908702,217727,True,33382.79
data/football_intelligence.db,historical_fixture_registry,223215,223215,True,33382.79
data/football_intelligence.db,historical_fixture_results,222985,222985,True,33382.79
data/football_intelligence.db,l2f_forward_shadow_jobs,54,54,True,33382.79
data/football_intelligence.db,lambda_v2_shadow_outputs,432,54,True,33382.79
data/football_intelligence.db,oddalerts_enrichment_fixture_links,3078,4,True,33382.79
data/football_intelligence.db,oddalerts_fixture_map,3,,True,33382.79
data/football_intelligence.db,oddalerts_odds_history,902,,True,33382.79
data/football_intelligence.db,odds_api_cache,48,48,True,33382.79
data/football_intelligence.db,odds_api_usage,58,48,True,33382.79
data/football_intelligence.db,odds_snapshots,4780,1280,True,33382.79
data/football_intelligence.db,owner_league_batch_evaluations,0,0,True,33382.79
data/football_intelligence.db,owner_league_batch_snapshots,15,15,True,33382.79
data/football_intelligence.db,prediction_best_value_history,4,1,True,33382.79
data/football_intelligence.db,prediction_combo_history,1,,True,33382.79
data/football_intelligence.db,prediction_fixture_results,1,1,True,33382.79
data/football_intelligence.db,prediction_knowledge_records,3,1,True,33382.79
data/football_intelligence.db,prediction_lifecycle_events,4,1,True,33382.79
data/football_intelligence.db,prediction_lifecycle_records,2,1,True,33382.79
data/football_intelligence.db,prediction_market_accuracy_rollup,52,,True,33382.79
data/football_intelligence.db,prediction_market_evaluations,13,1,True,33382.79
data/football_intelligence.db,prediction_markets,85,,True,33382.79
data/football_intelligence.db,prediction_model_registry,2,1,True,33382.79
data/football_intelligence.db,predictions,17,5,True,33382.79
data/football_intelligence.db,sportmonks_fixture_enrichment,54,,True,33382.79
data/football_intelligence.db,tfps_fixture_eligibility,97,97,True,33382.79
data/football_intelligence.db,tfps_portfolio_evaluations,36,,True,33382.79
data/football_intelligence.db,tfps_portfolio_freezes,36,,True,33382.79
data/football_intelligence.db,totals_market_shadow_snapshots,162,54,True,33382.79
data/football_intelligence.db,user_daily_prediction_usage,5,1,True,33382.79
data/football_intelligence.db,user_prediction_usage,1173,5,True,33382.79
data/football_intelligence.db,verification_results,70,4,True,33382.79
data/football_intelligence.db,wc_fixture_mapping,329,,True,33382.79
data/football_intelligence.db,worldcup_prediction_evaluations,48,48,True,33382.79
data/football_intelligence.db,worldcup_stored_predictions,446,446,True,33382.79
data/evaluation/forward_prediction_tracking.db,actual_results,168,168,True,9.55
data/evaluation/forward_prediction_tracking.db,ecse_prematch_risk_metadata,129,59,True,9.55
data/evaluation/forward_prediction_tracking.db,evaluation_batches,1,,True,9.55
data/evaluation/forward_prediction_tracking.db,exact_score_rankings,2300,304,True,9.55
data/evaluation/forward_prediction_tracking.db,forward_evaluation_runs,1,,True,9.55
data/evaluation/forward_prediction_tracking.db,freeze_derived_research_metadata,362,251,True,9.55
data/evaluation/forward_prediction_tracking.db,freeze_quarantine,0,0,True,9.55
data/evaluation/forward_prediction_tracking.db,frozen_predictions,460,304,True,9.55
data/evaluation/forward_prediction_tracking.db,high_score_tail_shadow_outputs,504,168,True,9.55
data/evaluation/forward_prediction_tracking.db,lambda_team_strength_shadow_outputs,1344,168,True,9.55
data/evaluation/forward_prediction_tracking.db,lambda_v2_shadow_outputs,1216,168,True,9.55
data/evaluation/forward_prediction_tracking.db,market_evaluations,145,142,True,9.55
data/evaluation/forward_prediction_tracking.db,prediction_context,145,,True,9.55
data/evaluation/forward_prediction_tracking.db,totals_market_shadow_snapshots,0,0,True,9.55
data/evaluation/forward_prediction_tracking.db,wde_ecse_direction_conflicts,27,27,True,9.55
data/worldcup_predictor.db,,,,True,0.0
data/research/ecse_timing_experiment.db,timing_experiment_fixtures,16,16,True,0.1
data/research/ecse_timing_experiment.db,timing_prediction_snapshots,4,4,True,0.1
data/research/ecse_timing_experiment.db,timing_result_evaluations,0,0,True,0.1
data/research/ecse_timing_experiment.db,timing_stable_union_predictions,4,4,True,0.1
data/backups/football_intelligence_before_oddalerts_csv_promotion_20260701_034614.db,,,,False,28894.5
data/backups/football_intelligence_pre_data1b_20260629_061845.db,,,,False,493.27
data/backups/football_intelligence_pre_data1c_20260629_084215.db,,,,False,3788.53
data/backups/football_intelligence_pre_data1c_20260629_084258.db,,,,False,3788.55
data/backups/football_intelligence_pre_data1d_20260629_090902.db,,,,False,5300.85
