config_hash,accuracy,n,coverage,roi,avg_odds,max_drawdown,ci_lo,ci_hi,flags,market,direction_source
c550fcd0fcc80f1c,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
2ce6c701f44b27d0,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
61f72a9650dac1e7,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
09ca1e7688b45a95,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
acd1f223e304b4c5,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
d2a2c11922edb397,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
93fe96b35f4734ae,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
fd1954f406a26bdb,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
34db260a5dfbfa1b,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
c0059bd7950d9cac,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
07334f30a746ccdc,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
dd346e35deb15e3d,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
c7c24fc5ed662720,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
788f0f4761b1e1bc,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
10d14963819ca37c,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
87cdbb4212f4073f,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
1cb0a117be5e9a79,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
28413788b14a5a69,1.0,3,0.0667,0.26,1.26,0.0,0.4385,1.0,N_LT_50_NOT_DISCOVERY|SMALL_SAMPLE|EXTREME_FAVORITE_HEAVY,home,wde
