fixture_id,match,vienna_datetime,league,country,canonical_wde_direction,canonical_ecse_direction,exact_v2_direction,lambda_v2_direction,dna_direction,twins_direction,market_direction,no_bet,confidence,entropy,conflict_count,primary_rejection_gate,technical_vs_policy,recommended_audit_classification,missing_outputs,all_rejection_gates,no_bet_reason_codes
1494225,AIK Stockholm vs Orgryte IS,2026-08-02 16:30 CEST,Allsvenskan,Sweden,home,home,home,home,home,home,home,True,62.2,1.557643,0,F15_no_bet_false,policy,OVERSTRICT_POLICY_EXCLUSION,,no_bet_true,NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1494226,IF Brommapojkarna vs Malmo FF,2026-08-02 14:00 CEST,Allsvenskan,Sweden,away,away,away,away,draw,away,away,True,47.3,1.59384,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1494230,IFK Goteborg vs Degerfors IF,2026-08-02 14:00 CEST,Allsvenskan,Sweden,home,home,home,home,home,home,home,True,61.0,1.558805,0,F15_no_bet_false,policy,OVERSTRICT_POLICY_EXCLUSION,,no_bet_true,NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1494232,Halmstad vs Sirius,2026-08-03 19:00 CEST,Allsvenskan,Sweden,away,away,away,away,draw,away,away,False,71.5,1.546221,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"partial_agreement,partial_agreement_not_eligible_for_final",
1494716,Aalesund vs Tromso,2026-08-02 17:00 CEST,Eliteserien,Norway,away,away,away,away,draw,home,away,True,57.4,1.583357,2,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1494718,Brann vs Rosenborg,2026-08-02 19:15 CEST,Eliteserien,Norway,home,home,home,home,home,home,home,True,47.6,1.587842,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1494720,KFUM Oslo vs Kristiansund BK,2026-08-02 17:00 CEST,Eliteserien,Norway,home,home,home,home,home,home,home,True,52.9,1.556745,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1494721,Molde vs Sarpsborg 08 FF,2026-08-02 17:00 CEST,Eliteserien,Norway,home,home,home,home,home,home,home,True,43.7,1.575514,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1495746,VPS vs Inter Turku,2026-08-02 14:00 CEST,Veikkausliiga,Finland,away,draw,draw,draw,draw,home,home,True,55.6,1.571518,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1495747,AC Oulu vs Ilves,2026-08-02 16:00 CEST,Veikkausliiga,Finland,home,draw,home,draw,home,home,home,True,41.9,1.57568,2,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1495750,SJK vs HJK Helsinki,2026-08-03 18:00 CEST,Veikkausliiga,Finland,away,away,away,away,draw,away,away,True,62.1,1.594459,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",NO_BET_TRUE_REASON_NOT_EXPOSED_IN_MISSION_ARTIFACT
1497642,United Nordic vs Ljungskile SK,2026-08-02 15:00 CEST,Superettan,Sweden,home,home,home,home,home,home,home,True,51.8,1.594161,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1497645,Orebro SK vs IFK Varnamo,2026-08-03 19:05 CEST,Superettan,Sweden,home,home,home,home,home,home,home,True,59.4,1.590471,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1498686,Almagro vs Midland,2026-08-02 20:00 CEST,Primera Nacional,Argentina,away,draw,draw,draw,draw,home,away,True,54.9,1.505466,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1498687,Almirante Brown vs Racing Cordoba,2026-08-02 20:00 CEST,Primera Nacional,Argentina,home,draw,home,home,home,home,home,True,54.4,1.514478,1,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1498688,Central Norte vs Los Andes,2026-08-02 21:30 CEST,Primera Nacional,Argentina,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1498690,Chaco For Ever vs Deportivo Moron,2026-08-02 21:00 CEST,Primera Nacional,Argentina,away,draw,draw,draw,draw,draw,away,True,47.5,1.521338,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1498691,Ciudad de Bolívar vs Atletico Mitre,2026-08-02 20:00 CEST,Primera Nacional,Argentina,home,home,home,home,home,home,home,True,54.2,1.525282,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1498692,Club Atlético Güemes vs Tristan Suarez,2026-08-03 21:00 CEST,Primera Nacional,Argentina,away,draw,draw,draw,draw,draw,draw,True,44.8,1.507162,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1498695,Deportivo Madryn vs All Boys,2026-08-02 21:00 CEST,Primera Nacional,Argentina,home,home,home,home,home,home,home,True,54.2,1.513036,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1498696,Deportivo Maipu vs Atlanta,2026-08-02 20:30 CEST,Primera Nacional,Argentina,away,draw,draw,draw,draw,home,home,True,45.7,1.53158,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1498699,Patronato vs Quilmes,2026-08-02 20:30 CEST,Primera Nacional,Argentina,away,draw,draw,draw,home,home,home,True,52.1,1.525643,5,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1498701,San Telmo vs San Miguel,2026-08-02 20:00 CEST,Primera Nacional,Argentina,,,draw,draw,,,,,,,0,F9_canonical_prediction_complete,technical,MISSING_DATA_EXCLUSION,"wde,ecse,dna,twins",incomplete,
1498702,Temperley vs Gimnasia Y Tiro,2026-08-02 20:30 CEST,Primera Nacional,Argentina,home,home,home,home,home,home,home,True,57.1,1.524788,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1508822,Thor Akureyri vs Breidablik,2026-08-04 20:30 CEST,Úrvalsdeild,Iceland,away,away,away,away,draw,away,away,True,58.3,1.588182,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
1508823,Valur Reykjavik vs Stjarnan,2026-08-04 21:15 CEST,Úrvalsdeild,Iceland,home,home,home,draw,home,draw,home,True,55.2,1.594976,2,F14_no_severe_direction_conflict,policy,CORRECTLY_EXCLUDED_RISK,,"direction_conflict,no_bet_true","CONFIDENCE_BELOW_60,DIRECTION_CONFLICT_OBSERVED"
1508824,Keflavik vs KA Akureyri,2026-08-05 20:00 CEST,Úrvalsdeild,Iceland,home,home,home,home,home,home,home,True,54.1,1.59604,0,F15_no_bet_false,policy,CORRECTLY_EXCLUDED_RISK,,no_bet_true,CONFIDENCE_BELOW_60
1508825,FH hafnarfjordur vs KR Reykjavik,2026-08-05 21:15 CEST,Úrvalsdeild,Iceland,away,away,away,away,draw,away,away,True,53.7,1.592641,1,F16_agreement_status_eligible,policy,POSSIBLE_FALSE_NEGATIVE,,"no_bet_true,partial_agreement,partial_agreement_not_eligible_for_final",CONFIDENCE_BELOW_60
