metric,count
raw_provider_fixtures,1070
deduplicated_raw_fixtures,1004
football_prematch_fixtures,1004
target_date_fixtures_vienna_sum,1004
timezone_adjusted_vienna_date_fixtures,1004
supported_league_fixtures_tier_a_plus_b,93
owner_scope_fixtures,93
mission_discovered_rows,93
mission_discovered_unique_fixtures,92
canonical_eligible_fixtures,78
odds_fresh_among_agreement_rows,78
predicted_fixtures,78
frozen_fixtures,78
model_complete_core_trio,78
agreement_eligible_unanimous_or_strong,26
no_bet_false_fixtures,2
final_selected_1x2_fixtures,1
