fixture_id,sportmonks_fixture_id,league_id,season_id,competition_key,date,kickoff_utc,home_team_id,away_team_id,home_team_name,away_team_name,home_team,away_team,final_score_home,final_score_away,first_goal_team,first_goal_minute,total_goals,label_first_goal_team,label_goal_range,label_over_25,home_goal_rate_proxy,away_goal_rate_proxy,data_quality_score,home_history_samples,away_history_samples,home_recent_xg,away_recent_xg,home_recent_xga,away_recent_xga,rolling_xg_3_home,rolling_xg_5_home,rolling_xg_10_home,rolling_xg_3_away,rolling_xg_5_away,rolling_xg_10_away,xg_difference,attack_strength_difference,defensive_weakness_difference,xg_momentum_difference,xg_available,rolling_xg_available,leakage_safe,skip_reason
19135808,19135808,2,23619,champions_league,2024-07-30 17:00:00+00:00,2024-07-30 17:00:00+00:00,88,13775,Fenerbahçe,Lugano,Fenerbahçe,Lugano,2,1,away,7.0,3,away,0-15,1,1.412,1.4614,1.0,1,1,1.412,1.4614,1.4614,1.412,1.412,1.412,1.412,1.4614,1.4614,1.4614,-0.0494,-0.0494,-0.0494,-0.0988,True,True,True,
19135798,19135798,2,23619,champions_league,2024-07-31 17:15:00+00:00,2024-07-31 17:15:00+00:00,939,17318,FC Midtjylland,UE Santa Coloma,FC Midtjylland,UE Santa Coloma,1,0,home,72.0,1,home,31-45+,0,3.6288,0.3315,1.0,1,1,3.6288,0.3315,0.3315,3.6288,3.6288,3.6288,3.6288,0.3315,0.3315,0.3315,3.2973,3.2973,3.2973,6.5946,True,True,True,
19135820,19135820,5,23620,europa_league,2024-08-01 17:15:00+00:00,2024-08-01 17:15:00+00:00,86,290,Silkeborg IF,Molde,Silkeborg IF,Molde,3,2,home,3.0,5,home,0-15,1,0.566,2.3179,1.0,1,1,0.566,2.3179,2.3179,0.566,0.566,0.566,0.566,2.3179,2.3179,2.3179,-1.7519,-1.7519,-1.7519,-3.5038,True,True,True,
19135812,19135812,5,23620,europa_league,2024-08-01 18:00:00+00:00,2024-08-01 18:00:00+00:00,2945,629,Vojvodina,Ajax,Vojvodina,Ajax,1,3,away,53.0,4,away,31-45+,1,0.6225,0.837,1.0,1,1,0.6225,0.837,0.837,0.6225,0.6225,0.6225,0.6225,0.837,0.837,0.837,-0.2145,-0.2145,-0.2145,-0.429,True,True,True,
19135816,19135816,5,23620,europa_league,2024-08-01 18:30:00+00:00,2024-08-01 18:30:00+00:00,3678,331,SK Rapid,Wisła Kraków,SK Rapid,Wisła Kraków,6,1,home,6.0,7,home,0-15,1,0.7675,1.5884,1.0,1,2,0.7675,1.5884,1.9466,1.0633,0.7675,0.7675,0.7675,1.5884,1.5884,1.5884,-0.8209,-0.8209,-0.8833,-1.7042,True,True,True,
19194445,19194445,2,23619,champions_league,2024-08-06 17:15:00+00:00,2024-08-06 17:15:00+00:00,939,112,FC Midtjylland,Ferencvárosi,FC Midtjylland,Ferencvárosi,2,0,home,17.0,2,home,16-30,0,2.7976,2.2307,1.0,2,1,2.7976,2.2307,0.318,0.6982,2.7976,2.7976,2.7976,2.2307,2.2307,2.2307,0.5669,0.5669,0.3802,0.9471,True,True,True,
19194452,19194452,2,23619,champions_league,2024-08-13 17:00:00+00:00,2024-08-13 17:00:00+00:00,593,49,FC Twente,Salzburg,FC Twente,Salzburg,3,3,away,17.0,6,away,16-30,1,0.6575,0.7634,1.0,1,1,0.6575,0.7634,0.7634,0.6575,0.6575,0.6575,0.6575,0.7634,0.7634,0.7634,-0.1059,-0.1059,-0.1059,-0.2118,True,True,True,
19194494,19194494,2,23619,champions_league,2024-08-13 17:00:00+00:00,2024-08-13 17:00:00+00:00,88,690,Fenerbahçe,LOSC Lille,Fenerbahçe,LOSC Lille,1,0,away,91.0,1,away,31-45+,0,1.442,1.1628,1.0,3,1,1.442,1.1628,1.0456,0.8024,1.442,1.442,1.442,1.1628,1.1628,1.1628,0.2792,0.2792,-0.2432,0.036,True,True,True,
19194446,19194446,2,23619,champions_league,2024-08-13 18:00:00+00:00,2024-08-13 18:00:00+00:00,112,939,Ferencvárosi,FC Midtjylland,Ferencvárosi,FC Midtjylland,1,1,home,17.0,2,home,16-30,0,1.5813,2.5519,1.0,2,3,1.5813,2.5519,1.3793,0.5226,1.5813,1.5813,1.5813,2.5519,2.5519,2.5519,-0.9706,-0.9706,-0.8567,-1.8273,True,True,True,
19194502,19194502,5,23620,europa_league,2024-08-15 16:00:00+00:00,2024-08-15 16:00:00+00:00,3678,688,SK Rapid,Trabzonspor,SK Rapid,Trabzonspor,2,0,home,77.0,2,home,31-45+,0,1.9831,0.5209,1.0,3,1,1.9831,0.5209,1.2126,1.3809,1.9831,1.9831,1.9831,0.5209,0.5209,0.5209,1.4622,1.4622,0.1683,1.6305,True,True,True,
19194506,19194506,5,23620,europa_league,2024-08-15 18:15:00+00:00,2024-08-15 18:15:00+00:00,629,57,Ajax,Panathinaikos,Ajax,Panathinaikos,0,1,away,89.0,1,away,31-45+,0,1.3876,0.5051,1.0,3,1,1.3876,0.5051,0.5219,0.4819,1.3876,1.3876,1.3876,0.5051,0.5051,0.5051,0.8825,0.8825,-0.04,0.8425,True,True,True,
19228788,19228788,5,23620,europa_league,2024-08-15 18:30:00+00:00,2024-08-15 18:30:00+00:00,1970,884,Servette,Sporting Braga,Servette,Sporting Braga,1,2,away,46.0,3,away,31-45+,1,0.5836,0.507,1.0,1,1,0.5836,0.507,0.507,0.5836,0.5836,0.5836,0.5836,0.507,0.507,0.507,0.0766,0.0766,0.0766,0.1532,True,True,True,
19228796,19228796,5,23620,europa_league,2024-08-15 18:30:00+00:00,2024-08-15 18:30:00+00:00,13775,2736,Lugano,Partizan,Lugano,Partizan,1,2,away,44.0,3,away,31-45+,1,0.9042,0.6086,1.0,3,1,0.9042,0.6086,1.3774,0.7387,0.9042,0.9042,0.9042,0.6086,0.6086,0.6086,0.2956,0.2956,-0.6387,-0.3431,True,True,True,
19238542,19238542,5,23620,europa_league,2024-08-22 19:30:00+00:00,2024-08-22 19:30:00+00:00,884,3678,Sporting Braga,SK Rapid,Sporting Braga,SK Rapid,2,1,away,25.0,3,away,16-30,1,1.0097,1.9139,1.0,2,4,1.0097,1.9139,0.83,1.0503,1.0097,1.0097,1.0097,2.296,1.9139,1.9139,-0.9042,-0.9042,0.2203,-0.6839,True,True,True,
19238279,19238279,2,23619,champions_league,2024-08-27 19:00:00+00:00,2024-08-27 19:00:00+00:00,34,647,Galatasaray,Young Boys,Galatasaray,Young Boys,1,1,away,87.0,2,away,31-45+,0,1.9795,2.314,1.0,1,1,1.9795,2.314,2.314,1.9795,1.9795,1.9795,1.9795,2.314,2.314,2.314,-0.3345,-0.3345,-0.3345,-0.669,True,True,True,
19238287,19238287,2,23619,champions_league,2024-08-27 19:00:00+00:00,2024-08-27 19:00:00+00:00,2727,354,Sparta Praha,Malmö FF,Sparta Praha,Malmö FF,2,0,home,80.0,2,home,31-45+,0,1.1233,1.0041,1.0,1,1,1.1233,1.0041,1.0041,1.1233,1.1233,1.1233,1.1233,1.0041,1.0041,1.0041,0.1192,0.1192,0.1192,0.2384,True,True,True,
19238291,19238291,2,23619,champions_league,2024-08-27 19:00:00+00:00,2024-08-27 19:00:00+00:00,49,556,Salzburg,Dynamo Kyiv,Salzburg,Dynamo Kyiv,1,1,home,12.0,2,home,0-15,0,1.7499,0.33,1.0,3,1,1.7499,0.0,0.8253,2.0854,1.7499,1.7499,1.7499,0.0,0.0,0.0,1.7499,1.7499,1.2601,3.01,True,True,True,
19238281,19238281,2,23619,champions_league,2024-08-28 16:45:00+00:00,2024-08-28 16:45:00+00:00,5317,674,Qarabağ,Dinamo Zagreb,Qarabağ,Dinamo Zagreb,0,2,away,32.0,2,away,31-45+,0,2.1338,1.8903,1.0,1,1,2.1338,1.8903,1.8903,2.1338,2.1338,2.1338,2.1338,1.8903,1.8903,1.8903,0.2435,0.2435,0.2435,0.487,True,True,True,
19238283,19238283,2,23619,champions_league,2024-08-28 19:00:00+00:00,2024-08-28 19:00:00+00:00,2417,939,Slovan Bratislava,FC Midtjylland,Slovan Bratislava,FC Midtjylland,3,2,home,33.0,5,home,31-45+,1,1.2396,2.1394,1.0,1,5,1.2396,2.1394,1.8628,0.9832,1.2396,1.2396,1.2396,1.7006,2.1394,2.1394,-0.8998,-0.8998,-0.8796,-1.7794,True,True,True,
19238285,19238285,2,23619,champions_league,2024-08-28 19:00:00+00:00,2024-08-28 19:00:00+00:00,2673,1668,Crvena Zvezda,Bodø / Glimt,Crvena Zvezda,Bodø / Glimt,2,0,home,26.0,2,home,16-30,0,1.2748,1.6221,1.0,1,1,1.2748,1.6221,1.6221,1.2748,1.2748,1.2748,1.2748,1.6221,1.6221,1.6221,-0.3473,-0.3473,-0.3473,-0.6946,True,True,True,
19238289,19238289,2,23619,champions_league,2024-08-28 19:00:00+00:00,2024-08-28 19:00:00+00:00,216,690,Slavia Praha,LOSC Lille,Slavia Praha,LOSC Lille,2,1,home,5.0,3,home,0-15,1,0.6279,1.6093,1.0,1,3,0.6279,1.6093,1.4883,0.8008,0.6279,0.6279,0.6279,1.6093,1.6093,1.6093,-0.9814,-0.9814,-0.6875,-1.6689,True,True,True,
19238295,19238295,5,23620,europa_league,2024-08-29 18:00:00+00:00,2024-08-29 18:00:00+00:00,554,13775,Beşiktaş,Lugano,Beşiktaş,Lugano,5,1,home,7.0,6,home,0-15,1,1.3874,1.1118,1.0,1,5,1.3874,1.1118,1.0154,1.413,1.3874,1.3874,1.3874,1.195,1.1118,1.1118,0.2756,0.2756,0.3976,0.6732,True,True,True,
19238546,19238546,5,23620,europa_league,2024-08-29 18:00:00+00:00,2024-08-29 18:00:00+00:00,629,890,Ajax,Jagiellonia Białystok,Ajax,Jagiellonia Białystok,3,0,home,43.0,3,home,31-45+,1,2.1023,1.2673,1.0,5,1,2.1023,1.2673,0.8843,3.5434,2.2769,2.1023,2.1023,1.2673,1.2673,1.2673,0.835,0.835,2.6591,3.4941,True,True,True,
19238550,19238550,5,23620,europa_league,2024-08-29 18:30:00+00:00,2024-08-29 18:30:00+00:00,3444,3369,FCSB,LASK Linz,FCSB,LASK Linz,1,0,home,93.0,1,home,31-45+,0,0.6272,1.0987,1.0,1,1,0.6272,1.0987,1.0987,0.6272,0.6272,0.6272,0.6272,1.0987,1.0987,1.0987,-0.4715,-0.4715,-0.4715,-0.943,True,True,True,
19238541,19238541,5,23620,europa_league,2024-08-29 19:00:00+00:00,2024-08-29 19:00:00+00:00,3678,884,SK Rapid,Sporting Braga,SK Rapid,Sporting Braga,2,2,away,7.0,4,away,0-15,1,1.6263,1.5003,1.0,5,3,1.6263,1.5003,1.3365,0.712,1.1877,1.6263,1.6263,1.5003,1.5003,1.5003,0.126,0.126,-0.6245,-0.4985,True,True,True,
19238556,19238556,5,23620,europa_league,2024-08-29 19:00:00+00:00,2024-08-29 19:00:00+00:00,3877,112,Borac Banja Luka,Ferencvárosi,Borac Banja Luka,Ferencvárosi,0,1,away,104.0,1,away,31-45+,0,0.1262,1.4087,1.0,1,4,0.1262,1.4087,0.3636,1.0159,0.1262,0.1262,0.1262,1.1347,1.4087,1.4087,-1.2825,-1.2825,0.6523,-0.6302,True,True,True,
19296207,19296207,2,23619,champions_league,2024-09-18 16:45:00+00:00,2024-09-18 16:45:00+00:00,2727,49,Sparta Praha,Salzburg,Sparta Praha,Salzburg,3,0,home,2.0,3,home,0-15,1,2.0707,1.5408,1.0,2,4,2.0707,1.5408,1.3722,0.619,2.0707,2.0707,2.0707,1.7999,1.5408,1.5408,0.5299,0.5299,-0.7532,-0.2233,True,True,True,
19296379,19296379,5,23620,europa_league,2024-09-26 19:00:00+00:00,2024-09-26 19:00:00+00:00,629,554,Ajax,Beşiktaş,Ajax,Beşiktaş,4,0,home,31.0,4,home,31-45+,1,2.4934,2.157,1.0,5,2,2.4934,2.157,0.7838,0.9113,3.0471,2.4934,2.2173,2.157,2.157,2.157,0.3364,0.3364,0.1275,0.4639,True,True,True,
19296386,19296386,5,23620,europa_league,2024-10-03 16:45:00+00:00,2024-10-03 16:45:00+00:00,112,6,Ferencvárosi,Tottenham Hotspur,Ferencvárosi,Tottenham Hotspur,1,2,away,23.0,3,away,16-30,1,1.3707,1.3393,1.0,5,1,1.3707,1.3393,1.0105,2.1982,1.2709,1.3707,1.514,1.3393,1.3393,1.3393,0.0314,0.0314,1.1877,1.2191,True,True,True,
19296387,19296387,5,23620,europa_league,2024-10-03 16:45:00+00:00,2024-10-03 16:45:00+00:00,43,450,Lazio,Nice,Lazio,Nice,4,1,home,20.0,5,home,16-30,1,1.6639,1.3766,1.0,1,1,1.6639,1.3766,0.0,0.6505,1.6639,1.6639,1.6639,1.3766,1.3766,1.3766,0.2873,0.2873,0.6505,0.9378,True,True,True,
19427757,19427757,2,25580,champions_league,2025-07-22 17:00:00+00:00,2025-07-22 17:00:00+00:00,3545,1970,Viktoria Plzeň,Servette,Viktoria Plzeň,Servette,0,1,away,13.0,1,away,0-15,0,1.2945,0.83,1.0,1,2,1.2945,0.83,1.671,1.0097,1.2945,1.2945,1.2945,0.83,0.83,0.83,0.4645,0.4645,-0.6613,-0.1968,True,True,True,
19427755,19427755,2,25580,champions_league,2025-07-22 18:45:00+00:00,2025-07-22 18:45:00+00:00,62,57,Rangers,Panathinaikos,Rangers,Panathinaikos,2,0,home,52.0,2,home,31-45+,0,1.6575,1.0468,1.0,1,2,1.6575,1.0468,0.5326,1.6437,1.6575,1.6575,1.6575,1.0468,1.0468,1.0468,0.6107,0.6107,1.1111,1.7218,True,True,True,
19483769,19483769,5,25582,europa_league,2025-07-24 18:00:00+00:00,2025-07-24 18:00:00+00:00,554,621,Beşiktaş,Shakhtar Donetsk,Beşiktaş,Shakhtar Donetsk,2,4,away,7.0,6,away,0-15,1,1.6165,0.8976,1.0,3,1,1.6165,0.8976,1.4932,1.1615,1.6165,1.6165,1.6165,0.8976,0.8976,0.8976,0.7189,0.7189,-0.3317,0.3872,True,True,True,
19471676,19471676,2,25580,champions_league,2025-07-29 18:00:00+00:00,2025-07-29 18:00:00+00:00,148038,85,Drita,FC København,Drita,FC København,0,1,away,42.0,1,away,31-45+,0,0.3695,3.1767,1.0,1,1,0.3695,3.1767,3.1767,0.3695,0.3695,0.3695,0.3695,3.1767,3.1767,3.1767,-2.8072,-2.8072,-2.8072,-5.6144,True,True,True,
19427809,19427809,2,25580,champions_league,2025-07-30 18:00:00+00:00,2025-07-30 18:00:00+00:00,57,62,Panathinaikos,Rangers,Panathinaikos,Rangers,1,1,home,53.0,2,home,31-45+,0,1.3112,1.6804,1.0,3,2,1.3112,1.6804,1.6636,1.1863,1.3112,1.3112,1.3112,1.6804,1.6804,1.6804,-0.3692,-0.3692,-0.4773,-0.8465,True,True,True,
19471678,19471678,2,25580,champions_league,2025-07-30 18:00:00+00:00,2025-07-30 18:00:00+00:00,112,132636,Ferencvárosi,Noah,Ferencvárosi,Noah,4,3,home,1.0,7,home,0-15,1,1.4201,0.6218,1.0,5,1,1.4201,0.6218,0.815,1.7156,1.3859,1.4201,1.5465,0.6218,0.6218,0.6218,0.7983,0.7983,0.9006,1.6989,True,True,True,
19427758,19427758,2,25580,champions_league,2025-07-30 18:45:00+00:00,2025-07-30 18:45:00+00:00,49,2474,Salzburg,Brann,Salzburg,Brann,1,1,away,3.0,2,away,0-15,0,1.6974,0.4536,1.0,5,1,1.6974,0.4536,0.7079,2.4814,1.3336,1.6974,1.5417,0.4536,0.4536,0.4536,1.2438,1.2438,1.7735,3.0173,True,True,True,
19427810,19427810,2,25580,champions_league,2025-07-30 19:00:00+00:00,2025-07-30 19:00:00+00:00,1970,3545,Servette,Viktoria Plzeň,Servette,Viktoria Plzeň,1,3,home,4.0,4,home,0-15,1,0.6738,1.5364,1.0,3,2,0.6738,1.5364,1.266,1.0162,0.6738,0.6738,0.6738,1.5364,1.5364,1.5364,-0.8626,-0.8626,-0.2498,-1.1124,True,True,True,
