sportmonks_fixture_id,player_id,player_name,selection_name,market,bookmaker,odds,implied_probability,mapping_confidence,mapping_method,mapping_score,label,timestamp,finished
19135818,7160,Liam Donnelly,Liam Donnelly,Team Goalscorer,bet365,13.0,0.076923,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,37734718,Abdoul Kader Ouattara,Abdoul Ouattara,Team Goalscorer,bet365,4.75,0.210526,HIGH,initial_last,0.95,Last,2024-08-01 17:50:05,True
19135818,37259993,Abu Francis,Abu Francis,Team Goalscorer,bet365,4.75,0.210526,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,37347343,Thibo Somers,Thibo Somers,Team Goalscorer,bet365,5.0,0.2,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,37347343,Thibo Somers,Thibo Somers,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-08-01 17:50:05,True
19135818,37259178,Kazeem Olaigbe,Kazeem Olaigbe,Team Goalscorer,bet365,6.0,0.166667,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,37616409,Lawrence Agyekum,Lawrence Agyekum,Team Goalscorer,bet365,7.0,0.142857,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,32422758,Lewis Mayo,Lewis Mayo,Team Goalscorer,bet365,26.0,0.038462,HIGH,exact,1.0,First,2024-08-01 17:50:05,True
19135818,37562339,Felipe Augusto,da Silva Felipe Augusto,Team Goalscorer,bet365,4.33,0.230947,MEDIUM,token_overlap,0.93,First,2024-08-01 17:50:05,True
19135818,37734718,Abdoul Kader Ouattara,Abdoul Ouattara,Team Goalscorer,bet365,4.75,0.210526,HIGH,initial_last,0.95,Last,2024-08-01 17:50:05,True
19135818,37259993,Abu Francis,Abu Francis,Team Goalscorer,bet365,4.75,0.210526,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,37616409,Lawrence Agyekum,Lawrence Agyekum,Team Goalscorer,bet365,7.0,0.142857,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,37347343,Thibo Somers,Thibo Somers,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-08-01 17:50:05,True
19135818,37259178,Kazeem Olaigbe,Kazeem Olaigbe,Goalscorers,bet365,9.5,0.105263,HIGH,exact,1.0,Anytime,2024-08-01 17:50:05,True
19135818,173081,Stuart Findlay,Stuart Findlay,Goalscorers,bet365,67.0,0.014925,HIGH,exact,1.0,Anytime,2024-08-01 17:50:05,True
19135818,172633,Liam Polworth,Liam Polworth,Goalscorers,bet365,51.0,0.019608,HIGH,exact,1.0,Anytime,2024-08-01 17:50:05,True
19135818,61187,Hannes Van Der Bruggen,Hannes Vanderbruggen,Goalscorers,bet365,8.0,0.125,HIGH,normalized_exact,0.99,Last,2024-08-01 17:50:05,True
19135818,15524632,Jesper Daland,Jesper Daland,Goalscorers,bet365,11.0,0.090909,HIGH,exact,1.0,First,2024-08-01 17:50:05,True
