sportmonks_fixture_id,player_id,player_name,selection_name,market,bookmaker,odds,implied_probability,mapping_confidence,mapping_method,mapping_score
19609127,37528875,Jayden Adams,Jayden Adams,Anytime Goal Scorer,Bet365,9.5,0.105263,HIGH,exact,1.0
19609127,37707615,Samukele Kabini,Samukelo Kabini,Anytime Goal Scorer,Bet365,17.0,0.058824,HIGH,initial_last,0.95
19609127,253701,César Montes,Cesar Montes,Anytime Goal Scorer,Bet365,8.0,0.125,HIGH,exact,1.0
19609127,254057,Julián Quiñones,Julian Quinones,Anytime Goal Scorer,Bet365,2.6,0.384615,HIGH,exact,1.0
19609127,288275,Themba Zwane,Themba Zwane,Anytime Goal Scorer,Bet365,9.0,0.111111,HIGH,exact,1.0
19609127,37618713,Thapelo Maseko,Thapelo Maseko,Anytime Goal Scorer,Bet365,12.0,0.083333,HIGH,exact,1.0
19609127,37681890,Ime Okon,Ime Okon,Anytime Goal Scorer,Bet365,29.0,0.034483,HIGH,exact,1.0
19609127,37622976,Kamogelo Sebelebele,Kamogelo Sebelebele,Anytime Goal Scorer,Bet365,9.0,0.111111,HIGH,exact,1.0
19609127,37760511,Khulumani Ndamane,Khulumani Ndamane,Anytime Goal Scorer,Bet365,21.0,0.047619,HIGH,exact,1.0
19609127,37910690,Mbekezeli Mbokazi,Mbekezeli Mbokazi,Anytime Goal Scorer,Bet365,26.0,0.038462,HIGH,exact,1.0
19609127,37551389,Tshepang Moremi,Tshepang Moremi,Anytime Goal Scorer,Bet365,8.0,0.125,HIGH,exact,1.0
19609127,37583966,Thabang Matuludi,Thabang Matuludi,Anytime Goal Scorer,Bet365,21.0,0.047619,HIGH,exact,1.0
19609127,4243070,Lyle Foster,Lyle Foster,Anytime Goal Scorer,Bet365,5.5,0.181818,HIGH,exact,1.0
19609127,160217,Raúl Jiménez,Raul Jimenez,Anytime Goal Scorer,Bet365,2.2,0.454545,HIGH,exact,1.0
19609127,254052,Edson Álvarez,Edson Alvarez,Anytime Goal Scorer,Bet365,9.0,0.111111,HIGH,exact,1.0
19609127,254021,Alexis Vega,Alexis Vega,Anytime Goal Scorer,Bet365,3.4,0.294118,HIGH,exact,1.0
19609127,253902,Guillermo Martínez Ayala,Guillermo Martinez,Anytime Goal Scorer,Bet365,3.0,0.333333,MEDIUM,token_overlap,0.9467
19609127,5666528,César Huerta,Cesar Huerta,Anytime Goal Scorer,Bet365,3.2,0.3125,HIGH,exact,1.0
19609127,253683,Orbelín Pineda,Orbelin Pineda,Anytime Goal Scorer,Bet365,5.0,0.2,HIGH,exact,1.0
19609127,254106,Roberto Alvarado,Roberto Alvarado,Anytime Goal Scorer,Bet365,3.4,0.294118,HIGH,exact,1.0
19609127,37547842,Armando González,Armando Gonzalez,Anytime Goal Scorer,Bet365,3.0,0.333333,HIGH,exact,1.0
19609127,37661731,Mateo Chávez,Mateo Chavez,Anytime Goal Scorer,Bet365,11.0,0.090909,HIGH,exact,1.0
19609127,37739232,Gilberto Mora,Gilberto Mora,Anytime Goal Scorer,Bet365,4.33,0.230947,HIGH,exact,1.0
19609127,253737,Jesús Gallardo,Jesus Gallardo,Anytime Goal Scorer,Bet365,5.0,0.2,HIGH,exact,1.0
19609127,447092,Álvaro Fidalgo,Alvaro Fidalgo,Anytime Goal Scorer,Bet365,5.0,0.2,HIGH,exact,1.0
19609127,37253495,Israel Reyes,Israel Reyes,Anytime Goal Scorer,Bet365,9.5,0.105263,HIGH,exact,1.0
19609127,1525399,Johan Vásquez,Johan Vasquez,Anytime Goal Scorer,Bet365,9.5,0.105263,HIGH,exact,1.0
19609127,1525361,Luis Romo,Luis Romo,Anytime Goal Scorer,Bet365,6.5,0.153846,HIGH,exact,1.0
19609127,21045321,Érik Lira,Erik Lira,Anytime Goal Scorer,Bet365,15.0,0.066667,HIGH,exact,1.0
19609127,253754,Jorge Sánchez,Jorge Sanchez,Anytime Goal Scorer,Bet365,15.0,0.066667,HIGH,exact,1.0
19609127,37569331,Obed Vargas,Obed Vargas,Anytime Goal Scorer,Bet365,6.5,0.153846,HIGH,exact,1.0
19609127,37451396,Brian Gutiérrez,Brian Gutierrez,Anytime Goal Scorer,Bet365,4.33,0.230947,HIGH,exact,1.0
19609127,37664151,Olwethu Makhanya,Olwethu Makhanya,Anytime Goal Scorer,Bet365,29.0,0.034483,HIGH,exact,1.0
19609127,21762215,Bradley Cross,Bradley Cross,Anytime Goal Scorer,Bet365,29.0,0.034483,HIGH,exact,1.0
19609127,253833,Luis Chávez,Luis Chavez,Anytime Goal Scorer,Bet365,5.0,0.2,HIGH,exact,1.0
19609127,1504475,Iqraam Rayners,Iqraam Rayners,Anytime Goal Scorer,Bet365,6.5,0.153846,HIGH,exact,1.0
19609127,37438632,Evidence Makgopa,Evidence Makgopa,Anytime Goal Scorer,Bet365,6.5,0.153846,HIGH,exact,1.0
19609127,37690743,Relebohile Mofokeng,Relebohile Mofokeng,Anytime Goal Scorer,Bet365,8.0,0.125,HIGH,exact,1.0
19609127,36084791,Oswin Appollis,Oswin Appollis,Anytime Goal Scorer,Bet365,8.0,0.125,HIGH,exact,1.0
19609127,289341,Teboho Mokoena,Teboho Mokoena,Anytime Goal Scorer,Bet365,7.0,0.142857,HIGH,exact,1.0
19609127,37392896,Thalente Mbatha,Thalente Mbatha,Anytime Goal Scorer,Bet365,12.0,0.083333,HIGH,exact,1.0
19609127,289096,Aubrey Modiba,Aubrey Modiba,Anytime Goal Scorer,Bet365,21.0,0.047619,HIGH,exact,1.0
19609127,1504516,Khuliso Mudau,Khuliso Mudau,Anytime Goal Scorer,Bet365,26.0,0.038462,HIGH,exact,1.0
19609127,289686,Nkosinathi Sibisi,Nkosinathi Sibisi,Anytime Goal Scorer,Bet365,29.0,0.034483,HIGH,exact,1.0
19609127,2503729,Santiago Gimenez,Santiago Gimenez,Anytime Goal Scorer,Bet365,2.4,0.416667,HIGH,exact,1.0
19609127,37528875,Jayden Adams,Jayden Adams,First Goal Scorer,Bet365,23.0,0.043478,HIGH,exact,1.0
19609127,37707615,Samukele Kabini,Samukelo Kabini,First Goal Scorer,Bet365,41.0,0.02439,HIGH,initial_last,0.95
19609127,253701,César Montes,Cesar Montes,First Goal Scorer,Bet365,19.0,0.052632,HIGH,exact,1.0
19609127,254057,Julián Quiñones,Julian Quinones,First Goal Scorer,Bet365,5.5,0.181818,HIGH,exact,1.0
19609127,288275,Themba Zwane,Themba Zwane,First Goal Scorer,Bet365,21.0,0.047619,HIGH,exact,1.0
19609127,37618713,Thapelo Maseko,Thapelo Maseko,First Goal Scorer,Bet365,29.0,0.034483,HIGH,exact,1.0
19609127,37681890,Ime Okon,Ime Okon,First Goal Scorer,Bet365,81.0,0.012346,HIGH,exact,1.0
19609127,37622976,Kamogelo Sebelebele,Kamogelo Sebelebele,First Goal Scorer,Bet365,21.0,0.047619,HIGH,exact,1.0
19609127,37760511,Khulumani Ndamane,Khulumani Ndamane,First Goal Scorer,Bet365,51.0,0.019608,HIGH,exact,1.0
19609127,37910690,Mbekezeli Mbokazi,Mbekezeli Mbokazi,First Goal Scorer,Bet365,67.0,0.014925,HIGH,exact,1.0
19609127,37551389,Tshepang Moremi,Tshepang Moremi,First Goal Scorer,Bet365,19.0,0.052632,HIGH,exact,1.0
19609127,37583966,Thabang Matuludi,Thabang Matuludi,First Goal Scorer,Bet365,51.0,0.019608,HIGH,exact,1.0
19609127,4243070,Lyle Foster,Lyle Foster,First Goal Scorer,Bet365,13.0,0.076923,HIGH,exact,1.0
19609127,160217,Raúl Jiménez,Raul Jimenez,First Goal Scorer,Bet365,4.5,0.222222,HIGH,exact,1.0
19609127,254052,Edson Álvarez,Edson Alvarez,First Goal Scorer,Bet365,21.0,0.047619,HIGH,exact,1.0
