sportmonks_fixture_id,player_id,player_name,team_id,ml_score,ml_rank,odds_rank,value_gap,composite_scorer_score,confidence_tier,target_anytime,target_first_goal,odds_implied_anytime
19609128,21045321,Érik Lira,18576,0.5792060580580215,8.0,31.0,23.0,0.47616,C,0,0,0.064857
19609128,37342718,Han-beom Lee,18567,0.5579270067140666,10.0,33.0,23.0,0.358438,D,0,0,0.05882400000000001
19609128,322964,Min-jae Kim,18567,0.5009078610267547,13.0,34.0,21.0,0.278456,D,0,0,0.05882400000000001
19609128,253754,Jorge Sánchez,18576,0.49639275815967737,15.0,32.0,17.0,0.300735,D,0,0,0.064857
19609128,37561621,Gi-hyuk Lee,18567,0.4739004886813637,19.0,35.0,16.0,0.387246,D,0,0,0.058824
19609128,321093,In-beom Hwang,18567,0.6016389620977773,7.0,23.0,16.0,0.477967,C,0,0,0.11236933333333332
19609128,37420363,Young-woo Seol,18567,0.49748789702557905,14.0,27.0,13.0,0.422886,D,0,0,0.07843166666666666
19609128,320838,Jae-sung Lee,18567,0.6525040006936205,6.0,15.0,9.0,0.537408,C,0,0,0.17283966666666664
19609128,1525399,Johan Vásquez,18576,0.4739004886813637,20.0,28.0,8.0,0.399719,D,0,0,0.076923
19609128,254052,Edson Álvarez,18576,0.4959520352118936,16.0,24.0,8.0,0.339067,D,0,0,0.10505033333333334
19609128,9967153,Kang-in Lee,18567,0.536176694969013,11.0,18.0,7.0,0.365873,D,0,0,0.1435296
19609130,37261099,Marvin Keller,18708,0.22731669171362423,19.0,,80.0,0.279747,D,0,0,
19609130,198051,Denis Zakaria,18708,0.6132006395419476,2.0,13.0,11.0,0.739399,C,0,0,0.20095666666666667
19609130,198062,Manuel Akanji,18708,0.49572276704814316,7.0,15.0,8.0,0.516608,C,0,0,0.153846
19609130,31653,Ricardo Rodríguez,18708,0.48064483346158915,8.0,16.0,8.0,0.463135,C,0,0,0.14700833333333332
19609130,198220,Michel Aebischer,18708,0.5076492292633824,4.0,11.0,7.0,0.393002,C,0,0,0.22063133333333332
19609130,1887,Granit Xhaka,18708,0.5345242262245351,3.0,8.0,5.0,0.626627,C,0,0,0.27936500000000003
19609131,97811,Gabriel,18704,0.4749339852364801,16.0,,83.0,0.337371,D,0,0,
19609131,159142,Ederson,18704,0.22731669171362423,27.0,,72.0,0.239681,D,0,0,
19609131,37537937,Chadi Riad,18551,0.5008952089356222,12.0,24.0,12.0,0.257519,D,0,0,0.04324033333333333
19609131,28716,Noussair Mazraoui,18551,0.4754214753109443,15.0,25.0,10.0,0.367351,D,0,0,0.04151433333333334
19609131,187260,Achraf Hakimi,18551,0.6621134191984159,6.0,16.0,10.0,0.55559,C,0,0,0.09569366666666668
19609131,96208,Marquinhos,18704,0.5244274835855973,11.0,20.0,9.0,0.407453,D,0,0,0.07309933333333334
19609131,21803060,Neil El Aynaoui,18551,0.5996562544002039,9.0,17.0,8.0,0.518196,C,0,0,0.09393933333333333
19609131,37559109,Bilal El Khannouss,18551,0.7403506391259036,5.0,13.0,8.0,0.566012,C,0,0,0.113519
19609131,37717176,Ayyoub Bouaddi,18551,0.4860412455192092,14.0,21.0,7.0,0.360781,D,0,0,0.07089000000000001
19609131,37540780,Zakaria El Ouahdi,18551,0.5731287119761534,10.0,15.0,5.0,0.584158,C,0,0,0.09803933333333333
19609131,159700,Casimiro,18704,0.7988584187175429,4.0,9.0,5.0,0.721252,C,0,0,0.153846
19609134,37361402,Alessandro Circati,18730,0.4739004886813637,12.0,29.0,17.0,0.355309,D,0,0,0.050961
19609134,37611899,Paul Okon-Engstler,18730,0.5792060580580215,5.0,22.0,17.0,0.464126,C,0,0,0.086247
19609134,5922,Cameron Burgess,18730,0.4739004886813637,16.0,28.0,12.0,0.359038,D,0,0,0.057265333333333335
19609134,37623379,Alex Freeman,18571,0.5792060580580215,6.0,16.0,10.0,0.482117,C,1,1,0.11666666666666665
19609134,6006074,Jacob Italiano,18730,0.4739004886813637,14.0,24.0,10.0,0.370664,D,0,0,0.076923
19609134,28543793,Jordan Bos,18730,0.522541367232818,8.0,17.0,9.0,0.393257,C,0,0,0.11328966666666666
19609134,18218609,Chris Richards,18571,0.4821544193462742,11.0,20.0,9.0,0.354182,D,0,0,0.09393933333333333
19609134,173121,Harry Souttar,18730,0.4951436119808418,10.0,19.0,9.0,0.398367,D,0,0,0.09569366666666668
19609134,4666,Aiden O'Neill,18730,0.4739004886813637,15.0,23.0,8.0,0.376178,D,0,0,0.086247
19609134,2454,Tim Ream,18571,0.4734679861722465,19.0,26.0,7.0,0.366936,D,0,0,0.07089000000000001
19609134,5640878,Sergiño Dest,18571,0.5392532680191926,7.0,12.0,5.0,0.475622,C,0,0,0.17171733333333336
19609135,31146,Oliver Baumann,18660,0.2320972477651015,43.0,,56.0,0.216888,D,0,0,
19609135,32550,Alexander Nübel,18660,0.2320972477651015,45.0,,54.0,0.216888,D,0,0,
19609135,96798,Alban Lafont,18560,0.2320972477651015,46.0,,53.0,0.216888,D,0,0,
19609135,31640130,Wilfried Singo,18560,0.5853723997037102,11.0,43.0,32.0,0.390506,D,0,0,0.05370866666666666
19609135,28931733,Odilon Kossounou,18560,0.4941408618985435,18.0,44.0,26.0,0.292559,D,0,0,0.049764
19609135,161197,Ghislain Konan,18560,0.4739004886813637,21.0,42.0,21.0,0.37633,D,0,0,0.05396833333333334
19609135,37261923,Emmanuel Agbadou,18560,0.4739004886813637,19.0,38.0,19.0,0.382081,D,0,0,0.064857
19609135,3862352,Nico Schlotterbeck,18660,0.6188738529127312,7.0,26.0,19.0,0.49666,C,0,0,0.122549
19609135,31836,Jonathan Tah,18660,0.5332691282256902,14.0,33.0,19.0,0.425425,D,0,0,0.10000000000000002
19609135,37582044,Aleksandar Pavlovic,18660,0.5714769088776134,12.0,29.0,17.0,0.522253,C,0,0,0.11428566666666667
19609135,37761103,Christ Inao Oulaï,18560,0.5076492292633824,15.0,30.0,15.0,0.26941,D,0,0,0.10886066666666668
19609135,37538035,Nathaniel Brown,18660,0.602615892184432,10.0,24.0,14.0,0.52698,D,0,0,0.14700833333333332
19609135,97319,Christopher Operi,18560,0.40171448983180114,25.0,37.0,12.0,0.437508,C,0,0,0.07340400000000001
19609135,99534,Evan Ndicka,18560,0.32235904895136597,28.0,40.0,12.0,0.253968,D,0,0,0.05882400000000001
19609135,32362,Joshua Kimmich,18660,0.6036606682809509,9.0,20.0,11.0,0.563353,C,0,0,0.166667
19609135,96943,Ibrahim Sangaré,18560,0.5017972991816323,16.0,27.0,11.0,0.301541,D,0,0,0.11752133333333332
19609135,37316600,Guela Doué,18560,0.2866990681584535,31.0,41.0,10.0,0.345544,D,0,0,0.057387
19609135,6306127,Felix Nmecha,18660,0.6955568717570657,5.0,14.0,9.0,0.590199,C,0,0,0.19943
19609135,37317015,Amad Diallo,18560,0.7636098386688152,3.0,11.0,8.0,0.536566,C,0,0,0.22887100000000002
19609135,37618570,Ousmane Diomande,18560,0.27646056730055735,34.0,39.0,5.0,0.236475,D,0,0,0.05882400000000001
19609138,34737,Mark Flekken,18694,0.22731669171362423,32.0,,67.0,0.239628,D,0,0,
19609138,20673452,Tsuyoshi Watanabe,18597,0.6995341490834043,5.0,28.0,23.0,0.477671,C,0,0,0.071484
19609138,37296248,Micky van de Ven,18694,0.593803812128671,10.0,24.0,14.0,0.483452,D,0,0,0.090909
19609138,465580,Hiroki Ito,18597,0.5076492292633824,17.0,31.0,14.0,0.239258,D,0,0,0.05436766666666667
19609138,26027,Denzel Dumfries,18694,0.797349689788555,2.0,16.0,14.0,0.66412,C,0,0,0.14017066666666667
19609138,31238688,Kaishu Sano,18597,0.5871093670984546,12.0,25.0,13.0,0.467698,D,0,0,0.08727266666666667
19609138,5270462,Ryan Gravenberch,18694,0.5984445703690187,9.0,21.0,12.0,0.487346,D,0,0,0.10185166666666667
19609138,1743,Virgil van Dijk,18694,0.670760814166983,6.0,18.0,12.0,0.556162,C,1,1,0.120098
19609138,310131,Daichi Kamada,18597,0.6587019246215361,7.0,19.0,12.0,0.545316,C,1,0,0.11446733333333332
19609138,26536,Frenkie de Jong,18694,0.5105806880814618,16.0,22.0,6.0,0.370848,D,0,0,0.10185166666666667
19609139,37590621,Mike Penders,18743,0.22731669171362423,24.0,,75.0,0.247732,D,0,0,
19609139,37459056,Nathan Ngoy,18743,0.5892214289062465,5.0,22.0,17.0,0.416611,C,0,0,0.09259266666666667
19609139,61848,Brandon Mechele,18743,0.5454593130205674,8.0,21.0,13.0,0.472756,C,0,0,0.097643
19609139,62342,Youri Tielemans,18743,0.7481887978180894,3.0,12.0,9.0,0.628917,C,0,0,0.1886306666666667
19609139,22878573,Amadou Onana,18743,0.5074667247584402,11.0,19.0,8.0,0.400093,D,0,0,0.101787
19609139,4125,Mohamed Salah,18546,0.8140718193402746,1.0,8.0,7.0,0.731756,C,0,0,0.27527533333333337
