fixture_id,market_id,home_team,away_team,competition_key,kickoff_utc,shadow_pick,production_pick,semantic_shadow_pick,semantic_production_pick,raw_disagreement,true_disagreement,normalization_artifact,shadow_tier,shadow_confidence,production_confidence,production_conf_bucket,component_pattern,component_agreement_score,high_value_flag,risky_flag,high_value_reasons,risky_reasons,admin_label,label_reason,evaluation_status,match_status
1489409,1x2,Curaçao,Ivory Coast,world_cup_2026,2026-06-25T20:00:00,away,away_win,away,away,True,False,True,A,0.8355,0.62,medium,unanimous,1.0,False,False,,,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489409,first_goal_team,Curaçao,Ivory Coast,world_cup_2026,2026-06-25T20:00:00,away,ivory coast,away,away,True,False,True,A,0.8696,,missing,unanimous,1.0,False,True,,historical_hurt_first_goal_team_v2; historical_hurt_egie_historical_baseline,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489409,goal_timing,Curaçao,Ivory Coast,world_cup_2026,2026-06-25T20:00:00,16-30,16-30,16 30,16 30,False,False,False,C,0.35,,missing,unanimous,1.0,False,False,,,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489409,team_to_score_first,Curaçao,Ivory Coast,world_cup_2026,2026-06-25T20:00:00,away,ivory coast,away,away,True,False,True,A,0.8696,,missing,no_components,0.0,False,False,,,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489410,1x2,Ecuador,Germany,world_cup_2026,2026-06-25T20:00:00,away,away_win,away,away,True,False,True,C,0.5588,0.767,high,unanimous,1.0,False,False,,,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489410,first_goal_team,Ecuador,Germany,world_cup_2026,2026-06-25T20:00:00,away,germany,away,away,True,False,True,A,0.8644,,missing,unanimous,1.0,False,True,,historical_hurt_first_goal_team_v2; historical_hurt_egie_historical_baseline,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489410,goal_timing,Ecuador,Germany,world_cup_2026,2026-06-25T20:00:00,16-30,16-30,16 30,16 30,False,False,False,C,0.35,,missing,unanimous,1.0,False,False,,,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489410,team_to_score_first,Ecuador,Germany,world_cup_2026,2026-06-25T20:00:00,away,germany,away,away,True,False,True,A,0.8644,,missing,no_components,0.0,False,False,,,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489411,1x2,Paraguay,Australia,world_cup_2026,2026-06-26T02:00:00,home,away_win,home,away,True,True,False,C,0.4364,0.431,low,unanimous,1.0,False,False,,,NEEDS_RESULT_DATA,true_disagreement_pending_outcome,pending,NS
1489411,first_goal_team,Paraguay,Australia,world_cup_2026,2026-06-26T02:00:00,home,australia,home,away,True,True,False,A,0.8285,,missing,unanimous,1.0,True,True,shadow_tier_ab_strong_components_weak_prod,historical_hurt_first_goal_team_v2; historical_hurt_egie_historical_baseline; historical_tier_a_miss_rate_high,SHADOW_LEAN,shadow_confidence_and_component_edge,pending,NS
1489411,goal_timing,Paraguay,Australia,world_cup_2026,2026-06-26T02:00:00,16-30,31-45,16 30,31 45,True,True,False,C,0.35,,missing,unanimous,1.0,False,True,,goal_timing_low_shadow_conf,NEEDS_RESULT_DATA,true_disagreement_pending_outcome,pending,NS
1489411,team_to_score_first,Paraguay,Australia,world_cup_2026,2026-06-26T02:00:00,home,australia,home,away,True,True,False,A,0.8285,,missing,no_components,0.0,False,True,,historical_tier_a_miss_rate_high,NO_BET,insufficient_shadow_component_consensus,pending,NS
1489412,1x2,Tunisia,Netherlands,world_cup_2026,2026-06-25T23:00:00,away,away_win,away,away,True,False,True,B,0.7116,0.741,high,unanimous,1.0,False,False,,,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489412,first_goal_team,Tunisia,Netherlands,world_cup_2026,2026-06-25T23:00:00,away,netherlands,away,away,True,False,True,A,0.8696,,missing,unanimous,1.0,False,True,,historical_hurt_first_goal_team_v2; historical_hurt_egie_historical_baseline,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489412,goal_timing,Tunisia,Netherlands,world_cup_2026,2026-06-25T23:00:00,16-30,16-30,16 30,16 30,False,False,False,C,0.35,,missing,unanimous,1.0,False,False,,,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489412,team_to_score_first,Tunisia,Netherlands,world_cup_2026,2026-06-25T23:00:00,away,netherlands,away,away,True,False,True,A,0.8696,,missing,no_components,0.0,False,False,,,NO_BET,semantic_agreement_or_no_edge,pending,NS
1489413,1x2,Cape Verde Islands,Saudi Arabia,world_cup_2026,2026-06-27T00:00:00,away,home_win,away,home,True,True,False,D,0.3865,0.471,medium,unanimous,1.0,False,False,,,NEEDS_RESULT_DATA,true_disagreement_pending_outcome,pending,NS
