fixture_id,competition_key,season,home_team,away_team,kickoff_utc,home_goals,away_goals,first_goal_minute_raw,first_goal_minute_effective,first_goal_team,first_goal_side,classification,bucket_label,in_1_30,in_31_plus,data_source,goal_event_count,quality_flags
1378968,api_cache,,,,,,,1,1,Club America,unknown,bucket_1_15,1-15,True,False,api_response_cache,4,
1489348,api_cache,,,,,,,6,6,Trabzonspor,unknown,bucket_1_15,1-15,True,False,api_response_cache,6,
1489355,api_cache,,,,,,,3,3,Gaziantep FK,unknown,bucket_1_15,1-15,True,False,api_response_cache,5,
1489360,api_cache,,,,,,,41,41,Radomlje,unknown,bucket_31_45_plus,31-45+,False,True,api_response_cache,6,
1489423,api_cache,,,,,,,15,15,Sporting Cristal,unknown,bucket_1_15,1-15,True,False,api_response_cache,1,
1489424,api_cache,,,,,,,37,37,Cusco,unknown,bucket_31_45_plus,31-45+,False,True,api_response_cache,2,
1496090,api_cache,,,,,,,2,2,Union Carl Berner,unknown,bucket_1_15,1-15,True,False,api_response_cache,51,
1539014,api_cache,,,,,,,7,7,USA U21,unknown,bucket_1_15,1-15,True,False,api_response_cache,5,
1539015,api_cache,,,,,,,6,6,Korea Republic U17,unknown,bucket_1_15,1-15,True,False,api_response_cache,3,
1553782,api_cache,,,,,,,48,48,Al Arabi,unknown,bucket_46_60,46-60,False,True,api_response_cache,2,
719349,bundesliga,2021,Borussia Monchengladbach,Bayern Munich,2021-08-13T18:30:00,1,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719350,bundesliga,2021,Borussia Dortmund,Eintracht Frankfurt,2021-08-14T16:30:00,5,2,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719351,bundesliga,2021,VfL Wolfsburg,Vfl Bochum,2021-08-14T13:30:00,1,0,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719352,bundesliga,2021,Union Berlin,Bayer Leverkusen,2021-08-14T13:30:00,1,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719353,bundesliga,2021,VfB Stuttgart,SpVgg Greuther Furth,2021-08-14T13:30:00,5,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719354,bundesliga,2021,FSV Mainz 05,RB Leipzig,2021-08-15T13:30:00,1,0,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719355,bundesliga,2021,FC Augsburg,1899 Hoffenheim,2021-08-14T13:30:00,0,4,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719356,bundesliga,2021,Arminia Bielefeld,SC Freiburg,2021-08-14T13:30:00,0,0,,,,,no_goal,no_goal,,,sqlite_results_only,0,
719357,bundesliga,2021,1. FC Köln,Hertha Berlin,2021-08-15T15:30:00,3,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719358,bundesliga,2021,Bayern Munich,1. FC Köln,2021-08-22T15:30:00,3,2,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719359,bundesliga,2021,RB Leipzig,VfB Stuttgart,2021-08-20T18:30:00,4,0,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719360,bundesliga,2021,Eintracht Frankfurt,FC Augsburg,2021-08-21T13:30:00,0,0,,,,,no_goal,no_goal,,,sqlite_results_only,0,
719361,bundesliga,2021,Bayer Leverkusen,Borussia Monchengladbach,2021-08-21T16:30:00,4,0,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719362,bundesliga,2021,SC Freiburg,Borussia Dortmund,2021-08-21T13:30:00,2,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719363,bundesliga,2021,1899 Hoffenheim,Union Berlin,2021-08-22T13:30:00,2,2,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719364,bundesliga,2021,Hertha Berlin,VfL Wolfsburg,2021-08-21T13:30:00,1,2,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719365,bundesliga,2021,Vfl Bochum,FSV Mainz 05,2021-08-21T13:30:00,2,0,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719366,bundesliga,2021,SpVgg Greuther Furth,Arminia Bielefeld,2021-08-21T13:30:00,1,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719367,bundesliga,2021,Bayern Munich,Hertha Berlin,2021-08-28T16:30:00,5,0,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719368,bundesliga,2021,Borussia Dortmund,1899 Hoffenheim,2021-08-27T18:30:00,3,2,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719369,bundesliga,2021,VfL Wolfsburg,RB Leipzig,2021-08-29T15:30:00,1,0,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719370,bundesliga,2021,Union Berlin,Borussia Monchengladbach,2021-08-29T13:30:00,2,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719371,bundesliga,2021,VfB Stuttgart,SC Freiburg,2021-08-28T13:30:00,2,3,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719372,bundesliga,2021,FSV Mainz 05,SpVgg Greuther Furth,2021-08-28T13:30:00,3,0,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719373,bundesliga,2021,FC Augsburg,Bayer Leverkusen,2021-08-28T13:30:00,1,4,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719374,bundesliga,2021,Arminia Bielefeld,Eintracht Frankfurt,2021-08-28T13:30:00,1,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719375,bundesliga,2021,1. FC Köln,Vfl Bochum,2021-08-28T13:30:00,2,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719376,bundesliga,2021,RB Leipzig,Bayern Munich,2021-09-11T16:30:00,1,4,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719377,bundesliga,2021,Eintracht Frankfurt,VfB Stuttgart,2021-09-12T13:30:00,1,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719378,bundesliga,2021,Bayer Leverkusen,Borussia Dortmund,2021-09-11T13:30:00,3,4,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719379,bundesliga,2021,Union Berlin,FC Augsburg,2021-09-11T13:30:00,0,0,,,,,no_goal,no_goal,,,sqlite_results_only,0,
719380,bundesliga,2021,Borussia Monchengladbach,Arminia Bielefeld,2021-09-12T17:30:00,3,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719381,bundesliga,2021,SC Freiburg,1. FC Köln,2021-09-11T13:30:00,1,1,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719382,bundesliga,2021,1899 Hoffenheim,FSV Mainz 05,2021-09-11T13:30:00,0,2,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719383,bundesliga,2021,Vfl Bochum,Hertha Berlin,2021-09-12T15:30:00,1,3,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719384,bundesliga,2021,SpVgg Greuther Furth,VfL Wolfsburg,2021-09-11T13:30:00,0,2,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
719385,bundesliga,2021,Bayern Munich,Vfl Bochum,2021-09-18T13:30:00,7,0,,,,,data_missing,data_missing,,,sqlite_results_only,0,scored_match_no_first_goal_minute
