fixture_id,competition_key,season,home_team,away_team,home_goals,away_goals,priority_rank,has_sqlite_events,has_egie_events,has_cache_events,has_enrichment_events
9900441,world_cup_2026,,A,B,2,1,0,0,0,0,0
1539000,world_cup_2026,,Canada,Bosnia & Herzegovina,1,1,0,0,0,0,0
1538999,world_cup_2026,,South Korea,Czechia,2,1,0,0,0,0,0
1489370,world_cup_2026,,USA,Paraguay,4,1,0,0,0,0,0
1489369,world_cup_2026,,Mexico,South Africa,2,0,0,0,0,0,0
1375863,bundesliga,2024,SV Elversberg,1. FC Heidenheim,1,2,99,0,0,0,0
1375862,bundesliga,2024,1. FC Heidenheim,SV Elversberg,2,2,99,0,0,0,0
1224280,bundesliga,2024,FC St. Pauli,VfL Bochum,0,2,99,0,0,0,0
1224279,bundesliga,2024,Borussia Mönchengladbach,VfL Wolfsburg,0,1,99,0,0,0,0
1224278,bundesliga,2024,FSV Mainz 05,Bayer Leverkusen,2,2,99,0,0,0,0
1224277,bundesliga,2024,FC Augsburg,Union Berlin,1,2,99,0,0,0,0
1224276,bundesliga,2024,SC Freiburg,Eintracht Frankfurt,1,3,99,0,0,0,0
1224275,bundesliga,2024,1. FC Heidenheim,Werder Bremen,1,4,99,0,0,0,0
1224274,bundesliga,2024,1899 Hoffenheim,Bayern München,0,4,99,0,0,0,0
1224273,bundesliga,2024,Borussia Dortmund,Holstein Kiel,3,0,99,0,0,0,0
1224272,bundesliga,2024,RB Leipzig,VfB Stuttgart,2,3,99,0,0,0,0
1224271,bundesliga,2024,Holstein Kiel,SC Freiburg,1,2,99,0,0,0,0
1224270,bundesliga,2024,VfL Bochum,FSV Mainz 05,1,4,99,0,0,0,0
1224269,bundesliga,2024,Union Berlin,1. FC Heidenheim,0,3,99,0,0,0,0
1224268,bundesliga,2024,VfL Wolfsburg,1899 Hoffenheim,2,2,99,0,0,0,0
1224266,bundesliga,2024,Eintracht Frankfurt,FC St. Pauli,2,2,99,0,0,0,0
1224265,bundesliga,2024,Bayern München,Borussia Mönchengladbach,2,0,99,0,0,0,0
1224264,bundesliga,2024,VfB Stuttgart,FC Augsburg,4,0,99,0,0,0,0
1224263,bundesliga,2024,Bayer Leverkusen,Borussia Dortmund,2,4,99,0,0,0,0
1224262,bundesliga,2024,FC St. Pauli,VfB Stuttgart,0,1,99,0,0,0,0
1224261,bundesliga,2024,Union Berlin,Werder Bremen,2,2,99,0,0,0,0
1224260,bundesliga,2024,Borussia Mönchengladbach,1899 Hoffenheim,4,4,99,0,0,0,0
1224259,bundesliga,2024,FSV Mainz 05,Eintracht Frankfurt,1,1,99,0,0,0,0
1224258,bundesliga,2024,FC Augsburg,Holstein Kiel,1,3,99,0,0,0,0
1224257,bundesliga,2024,SC Freiburg,Bayer Leverkusen,2,2,99,0,0,0,0
1224255,bundesliga,2024,Borussia Dortmund,VfL Wolfsburg,4,0,99,0,0,0,0
1224254,bundesliga,2024,RB Leipzig,Bayern München,3,3,99,0,0,0,0
1224253,bundesliga,2024,Holstein Kiel,Borussia Mönchengladbach,4,3,99,0,0,0,0
1224252,bundesliga,2024,VfL Bochum,Union Berlin,1,1,99,0,0,0,0
1224251,bundesliga,2024,VfL Wolfsburg,SC Freiburg,0,1,99,0,0,0,0
1224249,bundesliga,2024,1899 Hoffenheim,Borussia Dortmund,2,3,99,0,0,0,0
1224248,bundesliga,2024,Eintracht Frankfurt,RB Leipzig,4,0,99,0,0,0,0
1224247,bundesliga,2024,Bayern München,FSV Mainz 05,3,0,99,0,0,0,0
1224246,bundesliga,2024,VfB Stuttgart,1. FC Heidenheim,0,1,99,0,0,0,0
1224245,bundesliga,2024,Bayer Leverkusen,FC Augsburg,2,0,99,0,0,0,0
1224244,bundesliga,2024,FC St. Pauli,Bayer Leverkusen,1,1,99,0,0,0,0
1224243,bundesliga,2024,Union Berlin,VfB Stuttgart,4,4,99,0,0,0,0
1224242,bundesliga,2024,FSV Mainz 05,VfL Wolfsburg,2,2,99,0,0,0,0
1224240,bundesliga,2024,SC Freiburg,1899 Hoffenheim,3,2,99,0,0,0,0
1224239,bundesliga,2024,Werder Bremen,VfL Bochum,1,0,99,0,0,0,0
1224238,bundesliga,2024,1. FC Heidenheim,Bayern München,0,4,99,0,0,0,0
