# DEMO DATA — illustrative World Cup 2022 sample rows for model evaluation only.
# Not official feed. Historical performance does not guarantee future results.
fixture_id,date,competition,round,home_team,away_team,home_goals,away_goals,halftime_home_goals,halftime_away_goals,venue,referee,odds_home,odds_draw,odds_away,over_2_5_odds,under_2_5_odds
900001,2022-11-20,FIFA World Cup 2022,Group A - Matchday 1,Qatar,Ecuador,0,2,0,2,Al Bayt Stadium,Enrique Caceres,3.40,3.20,2.25,2.10,1.75
900002,2022-11-21,FIFA World Cup 2022,Group B - Matchday 1,England,Iran,6,2,3,0,Khalifa International Stadium,Slavko Vincic,1.35,5.00,9.00,1.65,2.25
900003,2022-11-21,FIFA World Cup 2022,Group A - Matchday 1,Senegal,Netherlands,0,2,0,0,Al Thumama Stadium,Stephanie Frappart,4.50,3.40,1.85,2.05,1.80
900004,2022-11-22,FIFA World Cup 2022,Group B - Matchday 1,USA,Wales,1,1,1,0,Ahmad bin Ali Stadium,Abdulrahman Al Jassim,2.30,3.10,3.40,2.20,1.70
900005,2022-11-22,FIFA World Cup 2022,Group C - Matchday 1,Argentina,Saudi Arabia,1,2,1,0,Lusail Stadium,Michael Oliver,1.22,6.50,15.00,1.45,2.75
900006,2022-11-23,FIFA World Cup 2022,Group D - Matchday 1,France,Australia,4,1,2,1,Al Janoub Stadium,Antonio Mateu,1.18,7.00,17.00,1.40,3.00
900007,2022-11-23,FIFA World Cup 2022,Group C - Matchday 1,Mexico,Poland,0,0,0,0,Stadium 974,Said Martinez,2.60,3.00,2.90,2.35,1.60
900008,2022-11-24,FIFA World Cup 2022,Group E - Matchday 1,Germany,Japan,1,2,1,0,Khalifa International Stadium,Ivan Barton,1.45,4.50,7.00,1.55,2.45
900009,2022-11-24,FIFA World Cup 2022,Group F - Matchday 1,Morocco,Croatia,0,0,0,0,Al Bayt Stadium,Facundo Tello,3.20,3.10,2.40,2.30,1.62
900010,2022-11-25,FIFA World Cup 2022,Group G - Matchday 1,Brazil,Serbia,2,0,0,0,Lusail Stadium,Alireza Faghani,1.50,4.20,6.50,1.70,2.15
900011,2022-11-26,FIFA World Cup 2022,Group A - Matchday 2,Netherlands,Ecuador,1,1,1,0,Khalifa International Stadium,Mustapha Ghorbal,1.75,3.50,5.00,2.00,1.85
900012,2022-11-26,FIFA World Cup 2022,Group B - Matchday 2,England,USA,0,0,0,0,Al Bayt Stadium,Jesús Valenzuela,1.65,3.60,5.50,1.90,1.95
