pair,timestamp,side,entry,stop,target,exit_price,outcome,pnl_r,risk_pips,source
EURUSD,2026-05-18 12:00:00+00:00,short,1.16482,1.16601,1.16246,1.16601,loss,-1.0,11.8,FVG
GBPUSD,2026-03-31 14:00:00+00:00,short,1.32046,1.32247,1.31643,1.32247,loss,-1.0,20.1,FVG
GBPUSD,2026-03-31 16:00:00+00:00,short,1.31788,1.32248,1.30868,1.32248,loss,-1.0,46.0,FVG
GBPUSD,2026-04-17 12:00:00+00:00,long,1.35667,1.35142,1.36715,1.35142,loss,-1.0,52.4,FVG
GBPUSD,2026-04-21 17:00:00+00:00,long,1.34965,1.34806,1.35282,1.34806,loss,-1.0,15.9,FVG
GBPUSD,2026-04-21 20:00:00+00:00,long,1.35003,1.34806,1.35397,1.34806,loss,-1.0,19.7,FVG
GBPUSD,2026-05-05 08:00:00+00:00,long,1.35503,1.35221,1.36067,1.36067,win,2.0,28.2,FVG
USDJPY,2026-04-07 23:00:00+00:00,short,158.82,159.83392,156.79217,159.091995,loss,-0.268,101.4,FVG
USDJPY,2026-04-30 07:00:00+00:00,long,160.4415,160.03197,161.26056,160.03197,loss,-1.0,41.0,FVG
USDJPY,2026-05-01 06:00:00+00:00,long,156.492,155.48181,158.51237,157.774002,win,1.269,101.0,FVG
USDJPY,2026-05-12 05:00:00+00:00,long,157.7065,156.90854,159.30243,157.878006,win,0.215,79.8,FVG
USDJPY,2026-06-22 14:00:00+00:00,long,161.6195,161.09273,162.67303,161.781998,win,0.308,52.7,FVG
AUDUSD,2026-04-02 01:00:00+00:00,short,0.69099,0.69307,0.68685,0.68685,win,1.99,20.7,FVG
AUDUSD,2026-04-03 20:00:00+00:00,long,0.68971,0.68899,0.69113,0.68899,loss,-1.0,7.1,FVG
AUDUSD,2026-04-06 02:00:00+00:00,long,0.69024,0.68899,0.69273,0.69273,win,1.992,12.5,FVG
AUDUSD,2026-04-13 16:00:00+00:00,long,0.7077,0.70529,0.71254,0.71254,win,2.008,24.2,FVG
AUDUSD,2026-04-20 11:00:00+00:00,long,0.71643,0.71533,0.71864,0.71533,loss,-1.0,11.0,FVG
AUDUSD,2026-06-11 17:00:00+00:00,long,0.70077,0.69892,0.70448,0.70448,win,2.005,18.5,FVG
GBPJPY,2026-04-15 08:00:00+00:00,long,215.4285,215.26394,215.75764,215.26394,loss,-1.0,16.5,FVG
GBPJPY,2026-05-06 04:00:00+00:00,short,213.8455,214.11481,213.3069,213.3069,win,2.0,26.9,FVG
XAUUSD,2026-03-31 07:00:00+00:00,short,4573.25,4612.31946,4495.11108,4612.31946,loss,-1.0,39.1,FVG
XAUUSD,2026-04-02 01:00:00+00:00,long,4708.30005,4692.05524,4740.78967,4692.05524,loss,-1.0,16.2,FVG
XAUUSD,2026-04-02 02:00:00+00:00,long,4732.80005,4692.05698,4814.28619,4692.05698,loss,-1.0,40.7,FVG
XAUUSD,2026-04-07 04:00:00+00:00,long,4683.40015,4670.46472,4709.27099,4670.46472,loss,-1.0,12.9,FVG
XAUUSD,2026-04-07 14:00:00+00:00,long,4657.05005,4640.46824,4690.21366,4690.21366,win,2.0,16.6,FVG
XAUUSD,2026-04-30 06:00:00+00:00,long,4600.6001,4588.18194,4625.43642,4625.43642,win,2.0,12.4,FVG
XAUUSD,2026-05-01 20:00:00+00:00,short,4619.84985,4659.72992,4540.08971,4540.08971,win,2.0,39.9,FVG
XAUUSD,2026-05-14 04:00:00+00:00,short,4684.05005,4718.84174,4614.46666,4718.84174,loss,-1.0,34.8,FVG
XAUUSD,2026-06-12 15:00:00+00:00,short,4237.69995,4250.44658,4212.2067,4250.44658,loss,-1.0,12.7,FVG
XAUUSD,2026-06-18 01:00:00+00:00,long,4341.8501,4334.73256,4356.08518,4334.73256,loss,-1.0,7.1,FVG
