symbol,side,opened_at,closed_at,lot,pnl,close_reason,loss_streak_after
EURUSD,SELL,2026-04-01T02:35:00.356000,2026-04-01T02:35:32.800000,0.01,-0.030000000000196536,time_exit,1
EURUSD,SELL,2026-04-01T02:36:20.317000,2026-04-01T02:36:51.100000,0.02,-0.140000000000029,time_exit,2
EURUSD,SELL,2026-04-01T02:38:00.013000,2026-04-01T02:38:11.808000,0.04,0.3100000000002545,stop_loss,0
EURUSD,SELL,2026-04-01T02:38:31.072000,2026-04-01T02:38:53.838000,0.01,-0.1464601274907551,stop_loss,1
EURUSD,SELL,2026-04-01T02:40:00.271000,2026-04-01T02:40:32.872000,0.02,0.03999999999981796,time_exit,0
EURUSD,SELL,2026-04-01T02:41:04.243000,2026-04-01T02:41:34.482000,0.01,-0.06999999999979245,time_exit,1
EURUSD,SELL,2026-04-01T03:50:00.070000,2026-04-01T03:50:32.497000,0.02,-0.020000000000131024,time_exit,2
EURUSD,SELL,2026-04-01T03:52:01.861000,2026-04-01T03:52:37.455000,0.04,-0.32000000000032003,time_exit,3
EURUSD,SELL,2026-04-01T03:56:30.088000,2026-04-01T03:57:05.213000,0.08,-0.15999999999927184,time_exit,3
EURUSD,SELL,2026-04-01T03:58:30.788000,2026-04-01T03:59:02.376000,0.08,-0.23999999999979593,time_exit,3
EURUSD,SELL,2026-04-01T03:59:31.309000,2026-04-01T04:00:01.565000,0.08,-0.31999999999854367,time_exit,3
EURUSD,SELL,2026-04-01T04:00:38.454000,2026-04-01T04:00:47.634000,0.08,-0.8584235003734619,stop_loss,3
EURUSD,SELL,2026-04-01T04:01:00.611000,2026-04-01T04:01:39.610000,0.08,-0.15999999999927184,time_exit,3
EURUSD,SELL,2026-04-01T04:02:02.554000,2026-04-01T04:02:39.403000,0.08,-0.32000000000032003,time_exit,3
EURUSD,SELL,2026-04-01T04:03:01.664000,2026-04-01T04:03:17.505000,0.08,-0.8260409731484231,stop_loss,3
EURUSD,SELL,2026-04-01T04:04:04.498000,2026-04-01T04:04:27.906000,0.08,-0.8441809036376924,stop_loss,3
EURUSD,SELL,2026-04-01T04:13:01.288000,2026-04-01T04:13:26.274000,0.08,-0.8311784930796763,stop_loss,3
EURUSD,SELL,2026-04-01T04:15:01.856000,2026-04-01T04:15:39.315000,0.08,-0.48000000000136817,time_exit,3
EURUSD,SELL,2026-04-01T04:16:01.297000,2026-04-01T04:16:37.243000,0.08,-0.0800000000005241,time_exit,3
EURUSD,SELL,2026-04-01T04:17:00.430000,2026-04-01T04:17:31.622000,0.08,-0.7999999999999119,time_exit,3
EURUSD,SELL,2026-04-01T04:18:00.309000,2026-04-01T04:18:42.818000,0.08,0.0,time_exit,3
EURUSD,SELL,2026-04-01T04:19:00.304000,2026-04-01T04:19:31.231000,0.08,-0.7199999999993878,time_exit,3
EURUSD,SELL,2026-04-01T04:20:06.406000,2026-04-01T04:20:36.588000,0.08,-0.6399999999988637,time_exit,3
EURUSD,SELL,2026-04-01T04:21:30.564000,2026-04-01T04:22:01.238000,0.08,-0.6400000000006401,time_exit,3
EURUSD,SELL,2026-04-01T04:22:31.630000,2026-04-01T04:22:36.206000,0.08,-0.8020544030120647,stop_loss,3
EURUSD,BUY,2026-04-01T05:35:00.277000,2026-04-01T05:35:30.708000,0.08,-0.32000000000032003,time_exit,3
EURUSD,BUY,2026-04-01T05:37:00.045000,2026-04-01T05:37:22.952000,0.08,0.600000000000822,stop_loss,0
EURUSD,BUY,2026-04-01T05:38:03.922000,2026-04-01T05:38:38.267000,0.01,-0.03999999999981796,time_exit,1
EURUSD,BUY,2026-04-01T05:39:02.345000,2026-04-01T05:39:33.618000,0.02,-0.08000000000008001,time_exit,2
EURUSD,BUY,2026-04-01T05:42:00.031000,2026-04-01T05:42:30.091000,0.04,-0.24000000000068408,time_exit,3
EURUSD,BUY,2026-04-01T05:43:05.886000,2026-04-01T05:43:36.510000,0.08,-0.0800000000005241,time_exit,3
EURUSD,BUY,2026-04-01T05:44:00.271000,2026-04-01T05:44:30.018000,0.08,0.620000000000509,stop_loss,0
EURUSD,BUY,2026-04-01T05:47:01.355000,2026-04-01T05:47:31.425000,0.01,-0.010000000000065512,time_exit,1
EURUSD,BUY,2026-04-01T05:48:03.974000,2026-04-01T05:48:41.817000,0.02,-0.140000000000029,time_exit,2
EURUSD,BUY,2026-04-01T05:49:02.927000,2026-04-01T05:49:33.680000,0.04,-0.11999999999989797,time_exit,3
EURUSD,BUY,2026-04-01T05:50:00.997000,2026-04-01T05:50:32.021000,0.08,-0.6400000000006401,time_exit,3
EURUSD,BUY,2026-04-01T05:51:03.893000,2026-04-01T05:51:36.465000,0.08,-0.4000000000008441,time_exit,3
EURUSD,BUY,2026-04-01T05:53:00.295000,2026-04-01T05:53:14.887000,0.08,-1.098611946101613,stop_loss,3
EURUSD,BUY,2026-04-01T06:25:00.110000,2026-04-01T06:25:30.335000,0.08,-0.8800000000004359,time_exit,3
EURUSD,BUY,2026-04-01T06:34:00.029000,2026-04-01T06:34:30.437000,0.08,0.4000000000008441,time_exit,0
EURUSD,BUY,2026-04-01T06:35:01.119000,2026-04-01T06:35:31.665000,0.01,-0.08000000000008001,time_exit,1
EURUSD,BUY,2026-04-01T06:38:00.276000,2026-04-01T06:38:31.345000,0.02,-0.07999999999963592,time_exit,2
EURUSD,BUY,2026-04-01T06:42:00.289000,2026-04-01T06:42:30.673000,0.04,0.16000000000016001,time_exit,0
